,Ville,Annee,A1,B1,C1,D1,A2,B2,C2,D2
0,CLAMART,2012.0,1416.0,1296.0,1055.0,821.0,1491.0,1370.0,618.0,584.0
0,CLAMART,2013.0,1167.0,1080.0,764.0,811.0,1510.0,1400.0,575.0,603.0
0,CLAMART,2014.0,1177.0,1142.0,549.0,752.0,1554.0,1461.0,564.0,543.0
0,CLAMART,2015.0,1216.0,1106.0,906.0,799.0,1580.0,1470.0,535.0,515.0
0,CLICHY,2011.0,2223.0,2152.0,627.0,589.0,2047.0,1866.0,900.0,899.0
0,CLICHY,2012.0,2177.0,2131.0,551.0,537.0,2043.0,1886.0,898.0,896.0
0,CLICHY,2013.0,2143.0,2097.0,650.0,668.0,2117.0,1954.0,1102.0,1115.0
0,CLICHY,2014.0,2128.0,2053.0,409.0,459.0,1804.0,1712.0,655.0,649.0
0,CLICHY,2015.0,2131.0,2027.0,470.0,455.0,1883.0,1717.0,895.0,970.0
0,COLOMBES,2011.0,1700.0,1539.0,677.0,570.0,2047.0,1866.0,900.0,899.0
0,COLOMBES,2012.0,1711.0,1542.0,1172.0,1229.0,2043.0,1886.0,898.0,896.0
0,COLOMBES,2013.0,1761.0,1576.0,1601.0,1543.0,2117.0,1954.0,1102.0,1115.0
0,COLOMBES,2014.0,1631.0,1481.0,817.0,995.0,1804.0,1712.0,655.0,649.0
0,COLOMBES,2015.0,1754.0,1615.0,1152.0,932.0,1883.0,1717.0,895.0,970.0
0,COURBEVOIE,2011.0,1629.0,1507.0,525.0,647.0,1467.0,1344.0,576.0,584.0
0,COURBEVOIE,2012.0,1621.0,1606.0,975.0,936.0,1491.0,1370.0,618.0,584.0
0,COURBEVOIE,2013.0,1755.0,1656.0,1156.0,1174.0,1510.0,1400.0,575.0,603.0
0,COURBEVOIE,2014.0,1761.0,1705.0,707.0,656.0,1554.0,1461.0,564.0,543.0
0,COURBEVOIE,2015.0,1823.0,1719.0,349.0,526.0,1580.0,1470.0,535.0,515.0
0,FONTENAY-AUX-ROSES,2011.0,1226.0,1139.0,427.0,432.0,1431.0,1290.0,504.0,507.0
0,FONTENAY-AUX-ROSES,2012.0,1676.0,1582.0,674.0,260.0,1437.0,1307.0,556.0,538.0
0,FONTENAY-AUX-ROSES,2013.0,1722.0,1265.0,283.0,829.0,1471.0,1350.0,516.0,548.0
0,FONTENAY-AUX-ROSES,2014.0,1225.0,1236.0,540.0,397.0,1469.0,1369.0,514.0,492.0
0,FONTENAY-AUX-ROSES,2015.0,1258.0,1236.0,327.0,240.0,1481.0,1358.0,492.0,460.0
0,GARCHES,2011.0,1424.0,1371.0,220.0,188.0,1313.0,1160.0,473.0,477.0
0,GARCHES,2012.0,1463.0,1393.0,205.0,195.0,1323.0,1179.0,495.0,483.0
0,GARCHES,2013.0,1441.0,1404.0,164.0,172.0,1337.0,1204.0,497.0,518.0
0,GARCHES,2014.0,1475.0,1443.0,171.0,199.0,1337.0,1224.0,483.0,457.0
0,GARCHES,2015.0,1521.0,1453.0,266.0,158.0,1355.0,1223.0,451.0,427.0
0,GARENNE-COLOMBES,2011.0,1791.0,1530.0,440.0,540.0,1684.0,1501.0,563.0,552.0
0,GARENNE-COLOMBES,2012.0,1777.0,1591.0,1425.0,1177.0,1743.0,1581.0,562.0,568.0
0,GARENNE-COLOMBES,2013.0,2074.0,1783.0,1007.0,1396.0,1754.0,1590.0,639.0,645.0
0,GARENNE-COLOMBES,2014.0,1894.0,1547.0,660.0,522.0,1703.0,1575.0,661.0,668.0
0,GARENNE-COLOMBES,2015.0,1929.0,1630.0,1002.0,589.0,1782.0,1617.0,611.0,566.0
0,GENNEVILLIERS,2011.0,3323.0,2746.0,988.0,926.0,1684.0,1501.0,563.0,552.0
0,GENNEVILLIERS,2012.0,3700.0,3172.0,1232.0,1436.0,1743.0,1581.0,562.0,568.0
0,GENNEVILLIERS,2013.0,3792.0,3312.0,2175.0,1994.0,1754.0,1590.0,639.0,645.0
0,GENNEVILLIERS,2014.0,3665.0,3156.0,2117.0,2228.0,1703.0,1575.0,661.0,668.0
0,GENNEVILLIERS,2015.0,3562.0,3207.0,1066.0,1143.0,1782.0,1617.0,611.0,566.0
0,ISSY-LES-MOULINEAUX,2011.0,2247.0,1944.0,1170.0,1049.0,1467.0,1344.0,576.0,584.0
0,ISSY-LES-MOULINEAUX,2012.0,1892.0,1660.0,881.0,559.0,1491.0,1370.0,618.0,584.0
0,ISSY-LES-MOULINEAUX,2013.0,1667.0,1462.0,368.0,683.0,1510.0,1400.0,575.0,603.0
0,ISSY-LES-MOULINEAUX,2014.0,1701.0,1530.0,684.0,562.0,1554.0,1461.0,564.0,543.0
0,ISSY-LES-MOULINEAUX,2015.0,1857.0,1737.0,845.0,832.0,1580.0,1470.0,535.0,515.0
0,LEVALLOIS-PERRET,2011.0,3307.0,2911.0,4086.0,4167.0,2047.0,1866.0,900.0,899.0
0,LEVALLOIS-PERRET,2012.0,3128.0,2849.0,2513.0,2375.0,2043.0,1886.0,898.0,896.0
0,LEVALLOIS-PERRET,2013.0,3871.0,3672.0,4434.0,4446.0,2117.0,1954.0,1102.0,1115.0
0,LEVALLOIS-PERRET,2014.0,3506.0,3358.0,2284.0,1864.0,1804.0,1712.0,655.0,649.0
0,LEVALLOIS-PERRET,2015.0,2996.0,2683.0,4032.0,4848.0,1883.0,1717.0,895.0,970.0
0,MALAKOFF,2011.0,1396.0,1300.0,375.0,308.0,1431.0,1290.0,504.0,507.0
0,MALAKOFF,2012.0,1409.0,1353.0,418.0,492.0,1437.0,1307.0,556.0,538.0
0,MALAKOFF,2013.0,1536.0,1518.0,562.0,541.0,1471.0,1350.0,516.0,548.0
0,MALAKOFF,2014.0,1485.0,1465.0,349.0,464.0,1469.0,1369.0,514.0,492.0
0,MALAKOFF,2015.0,1699.0,1594.0,456.0,484.0,1481.0,1358.0,492.0,460.0
