,Modele,Annee,Km,Prix,Cote,Type,Tel,GoodDeal
0,Intens,2013,17000,10000,NA,Particulier,0615222549,False
1,Zen,2015,4750,12990,12856,Professionnel,NA,False
2,Intens,2015,8000,12900,13081,Professionnel,0484320215,True
3,Intens,2016,10,15590,NA,Professionnel,0422170122,False
4,Life,2014,7628,10850,11212,Professionnel,0805805802,True
5,Life,2014,7628,10850,11212,Professionnel,0805805802,True
6,Intens,2014,3500,12500,NA,Particulier,NA,False
7,Life,2015,3666,11900,12266,Professionnel,0422170199,True
8,Intens,2013,20000,10000,NA,Particulier,NA,False
