,Description,Marque,Prix_apres_resise,Remise,pct_remise
"Asus Premium PC Portable -R556LA-XX2591T- 15.6"" No",,asus,551.0,0.0,0.0
ASUS Transformer Book PC 2-en-1 T100HA-FU029T 10.1,,asus,354.0,0.0,0.0
"ASUS PC Portable R511LJ-XX1390T 15.6"" - Windows 10",,asus,749.0,150.0,16.68520578420467
"ASUS ROG PC GAMER GL752VL-T4014T 17.3"" - 8Go de RA",,asus,1322.0,177.0,11.80787191460974
ASUS PC GAMER - INTEL CORE i7 4720HQ- 12Go - 1000G,,asus,999.0,500.0,33.3555703802535
"ASUS PC Portable UX310UQ-GL129T 13,3"" - 8Go RAM - ",,asus,899.0,150.0,14.299332697807435
"ASUS PC Portable F541UV-XX291T 15.6"" - 4Go de RAM ",,asus,649.0,150.0,18.773466833541928
"ASUS PC Portable UX310UQ-GL127T 13,3"" - 4Go de RAM",,asus,729.0,220.0,23.182297154899896
"ASUS ROG PC GAMER G752VM-GC006D 17,3"" - 8Go de RAM",,asus,1599.0,200.0,11.117287381878821
"ASUS PC Portable R540LJ-XX666T rouge 15.6"" - 6Go d",,asus,499.0,100.0,16.69449081803005
"ASUS ROG PC Portable G752VS-BA171T 17,3"" - 16Go RA",,asus,2310.0,189.0,7.563025210084033
"ASUS PC Portable Gamer N752VX-GC164T 17.3"" - 8Go d",,asus,1218.0,81.0,6.235565819861432
"ASUS PC Portable Gamer N752VX-GB122T 17.3"" - 8Go d",,asus,1599.0,200.0,11.117287381878821
"ASUS ROG PC GAMER GL502VY-FY060D 15.6"" - 8Go de RA",,asus,1399.0,200.0,12.507817385866165
"ASUS ROG PC GAMER G552VL-CN003T 15.6"" - 8Go de RAM",,asus,1199.0,200.0,14.295925661186562
PC portable ASUS N552VX-FW333T,,asus,1023.0,0.0,0.0
"ASUS PC Portable R540LJ-DM176T 15.6"" - Windows 10 ",,asus,599.0,0.0,0.0
"ASUS PC Gamer X756UX-T4089T 17.3"" - 4Go RAM - Wind",,asus,732.0,0.0,0.0
"ASUS PC Portable VM590UB-FI194T 15.6"" UHD - Window",,asus,729.0,70.0,8.760951188986233
"ASUS PC Portable UX310UA-GL109T 13.3"" - 4Go de RAM",,asus,699.0,180.0,20.477815699658702
"ASUS PC Portable R558UV-DM232T 15.6"" - 4Go de RAM ",,asus,799.0,100.0,11.123470522803114
"ASUS PC Portable Gamer X756UX-T4089T 17.3"" -  4Go ",,asus,699.0,0.0,0.0
ASUS Transformer Book PC 2-en-1 T100HA-FU030T 10.1,,asus,462.0,0.0,0.0
ASUS Transformer Book PC 2-en-1 T100HA-FU011T roug,,asus,360.0,0.0,0.0
ASUS Transformer Book PC 2-en-1 T100HA-FU028T roug,,asus,458.0,0.0,0.0
"ASUS ROG PC GAMER G752VT-GC037D 17.3"" - 8Go de RAM",,asus,1499.0,300.0,16.67593107281823
ASUS Transformer Book PC 2-en-1 T100HA-FU006T tact,,asus,362.0,0.0,0.0
Ordinateur portable ASUS G741JW-T7066H,,asus,936.0,263.0,21.9349457881568
"Pc portable Vivo Book 15"" ASUS Rouge I3  X 540 LJ-",,asus,535.0,0.0,0.0
"ASUS EeeBook PC Portable E402SA-WX030T blanc 14"" -",,asus,434.0,0.0,0.0
ASUS EeeBook PC Portable E202SA-FD0011T rouge - 2G,,asus,351.0,0.0,0.0
"ASUS EeeBook PC Portable E402SA-WX013T 14"" - 2Go d",,asus,306.0,0.0,0.0
Asus EeeBook PC Portable E402MA-WX0001T Bleu,,asus,306.0,0.0,0.0
Asus EeeBook PC Portable X205TA-BING-FD015BS,,asus,399.0,0.0,0.0
Ordinateur portable Asus X552MD-SX101H,,asus,339.0,0.0,0.0
Ordinateur portable Asus X552MD-SX120H,,asus,359.0,0.0,0.0
Asus PC Portable X751MD-TY055H,,asus,349.0,0.0,0.0
PC PORTABLE ASUS R455 LD-WX099H 14'',,asus,359.0,0.0,0.0
Asus Transformer Book Gris PC convertible Tablette,,asus,359.0,40.89999999999998,10.2275568892223
PC portable Asus T100TAL-DK013P 10.1 HD tactile At,,asus,491.0,0.0,0.0
ASUS Ordinateur portable 15.6 Pentium 4Go 500Go Wi,,asus,479.0,0.0,0.0
Asus PC convertible tablette T300LA-C4002H,,asus,499.0,200.0,28.612303290414882
PC PORTABLE ASUS SÉRIE POLYVALENCE X552CL-SX354…,,asus,529.0,0.0,0.0
Ordinateur portable Asus K551LN-XO551H,,asus,519.0,80.89999999999998,13.485580930155022
PC PORTABLE ASUS R511LN-XX438H 15.6``,,asus,549.0,50.89999999999998,8.484747457909648
PC PORTABLE ASUS,,asus,549.0,0.0,0.0
Asus PC Portable X554LA-XX959H,,asus,569.0,0.0,0.0
PC portable Asus K555LJ-DM451H,,asus,579.0,0.0,0.0
Ordinateur Portable ASUS W10 R540LJ-XX004T,,asus,549.0,0.0,0.0
ASUS Transformer Book PC 2-en-1 T100HA-FU026T blan,,asus,598.0,0.0,0.0
PC hybride ASUS Zenbook UX360CA-C4017T Gris,,asus,583.0,216.0,27.033792240300375
Asus EeeBook PC Portable E502MA-XX0009H,,asus,642.0,0.0,0.0
 PC portable ASUS X751LAV-TY475T BLANC 17.3 HD Cor,,asus,640.0,0.0,0.0
Ordinateur portable ASUS F751LK-TY083H,,asus,619.0,0.0,0.0
Ordinateur portable Asus R556LN-DM439H,,asus,629.0,0.0,0.0
"ASUS PC Portable R540LJ-XX153T 15.6"" - Windows 10 ",,asus,649.0,150.0,18.773466833541928
Asus PC Portable X751LJ-TY284T,,asus,685.0,0.0,0.0
Asus PC Portable X555LA-XX1588T,,asus,689.0,0.0,0.0
Asus PC Portable X751MA-TY174T,,asus,705.0,0.0,0.0
X 555 LD-XO 1041 H - PC PORTABLES ASUS,,asus,716.0,0.0,0.0
PC hybride ASUS VivoBook Flip TP301UA-DW126R,,asus,732.0,0.0,0.0
PC portable ASUS R558UQ-DM257T,,asus,709.0,0.0,0.0
"ASUS PC Portable VM590UQ-FI048T 15,6"" - 4Go de RAM",,asus,749.0,150.0,16.68520578420467
Asus Pc Portable - intel core i7  - ram 8 go - 100,,asus,779.0,220.0,22.02202202202202
"ASUS ZenBook PC Portable UX305CA-FC051T 13.3"" - 4G",,asus,830.0,0.0,0.0
Asus PC Portable X751LAV-TY376H,,asus,798.0,0.0,0.0
PC portable ASUS R510VX-DM008T,,asus,800.0,0.0,0.0
PC hybride ASUS UX360UA-C4164T 512Go,,asus,1100.0,0.0,0.0
PC portable ASUS N552VW-FI165T Gris,,asus,1094.0,5.0,0.4549590536851683
PC portable gamer ASUS ROG G502VT-FY075T,,asus,1222.0,177.0,12.651894210150108
Ordinateur portable ASUS ZenBook UX301LA - Core…,,asus,1199.0,0.0,0.0
"ASUS PC Portable UX501VW-FJ019T 15.6"" - 8Go de RAM",,asus,1287.0,0.0,0.0
"ASUS PC Portable UX501VW-FJ019T 15.6"" - 8Go de RAM",,asus,1287.0,0.0,0.0
"ASUS PC Portable UX501VW-FJ019T 15.6"" - 8Go de RAM",,asus,1287.0,0.0,0.0
Asus PC Portable Gamer R752LX-TY105T,,asus,1321.0,0.0,0.0
PC portable ASUS N552VW-FI140T,,asus,1294.0,5.0,0.3849114703618168
PC portable gamer ASUS ROG GL752VW-T4397T Gris mét,,asus,1294.0,5.0,0.3849114703618168
PC portable gamer ASUS ROG G552VW-DM773T Gris Méta,,asus,1284.0,0.0,0.0
"ASUS PC Portable UX501VW-FJ019T 15.6"" - 8Go de RAM",,asus,1287.0,0.0,0.0
Ordinateur Portable - ASUS - NOTEBOOK K501UX-FI116,,asus,1265.0,0.0,0.0
ASUS ZenBook PC Portable Gamer UX501VW-FY103T 15.6,,asus,1364.0,0.0,0.0
PC portable gamer ASUS ROG G501VW-FY112T,,asus,1363.0,0.0,0.0
PC portable ASUS UX501VW-FJ019T,,asus,1498.0,101.0,6.316447779862414
PC Portable - ASUS N551JX-DM258T - Intel Core i7-4,,asus,1462.0,0.0,0.0
PC portable gamer ASUS ROG G702VT-GC006T,,asus,1500.0,99.0,6.191369606003752
"ASUS ROG PC GAMER G501VW-FY107T 15.6"" - 8Go de RAM",,asus,1575.0,0.0,0.0
PC Portable ASUS G502VS-FY032T,,asus,1699.0,0.0,0.0
PC portable ASUS R541UV-XX295T Blanc,,asus,1640.0,0.0,0.0
PC portable ASUS R541UV-XX295T Blanc,,asus,1640.0,0.0,0.0
Asus Eee PC 701 Ventilateur pour ordinateurs po…,,asus,17.0,0.0,0.0
Asus Eee PC 701SD Ventilateur pour ordinateurs …,,asus,17.0,0.0,0.0
 Ventilateur D'Ordinateur Portable Pour Asus Eee P,,asus,18.0,10.170000000000002,36.102236421725244
Asus Eee PC 901 XP Noir Layout Royaume-Uni Clavier,,asus,17.0,0.0,0.0
Asus Eee PC 901 Ventilateur pour ordinateurs po…,,asus,17.0,0.0,0.0
Asus Eee PC 701 Noir Layout Royaume-Uni Clavier po,,asus,17.0,0.0,0.0
Asus Eee PC 701SD Noir Layout Royaume-Uni Clavier ,,asus,17.0,0.0,0.0
Asus Eee PC 901 Ventilateur pour ordinateurs po…,,asus,17.0,0.0,0.0
Asus Eee PC 901 Noir Layout Royaume-Uni Clavier po,,asus,17.0,0.0,0.0
Asus Eee PC 900 16G Noir Layout Royaume-Uni Clavie,,asus,17.0,0.0,0.0
Asus Eee PC 901 XP Ventilateur pour ordinateurs…,,asus,17.0,0.0,0.0
Ventilateur D'Origine Pour Asus Eee Pc 1015 T 1015,,asus,17.0,8.95,34.48940269749518
Asus Eee PC 1005HA-A Ventilateur pour ordinateurs ,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-PU1X-BU Ventilateur pour ordina,,asus,21.0,0.0,0.0
Asus Eee Pc 1005HA-B Ventilateur pour ordinateurs ,,asus,21.0,0.0,0.0
Asus Eee PC 1005HAG Ventilateur pour ordinateurs p,,asus,21.0,0.0,0.0
Asus Eee Pc 1005HA_GG Ventilateur pour ordinateurs,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-BLK140X Ventilateur pour ordina,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-EU1X-BK Ventilateur pour ordina,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-VU1X-BU Ventilateur pour ordina,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-VU1X-PI Ventilateur pour ordina,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-PU1X Ventilateur pour ordinateu,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-EU1X Ventilateur pour ordinateu,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA Ventilateur pour ordinateurs po,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-P Ventilateur pour ordinateurs ,,asus,21.0,0.0,0.0
Asus Eee PC 1005HAB Ventilateur pour ordinateurs p,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-E Ventilateur pour ordinateurs ,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-VU1X-WT Ventilateur pour ordina,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-VU1X Ventilateur pour ordinateu,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-VU1X-BK Ventilateur pour ordina,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-PU1X-BK Ventilateur pour ordina,,asus,21.0,0.0,0.0
Asus Eee PC 1005HA-V Ventilateur pour ordinateurs ,,asus,21.0,0.0,0.0
Asus Eee PC 1005HAGB Ventilateur pour ordinateurs ,,asus,21.0,0.0,0.0
Asus Eee Pc UL30A Ventilateur pour ordinateurs por,,asus,22.0,0.0,0.0
Asus Eee Pc UL30A-A1 Ventilateur pour ordinateurs ,,asus,22.0,0.0,0.0
Asus Eee Pc UL30A-QX131X Ventilateur pour ordinate,,asus,22.0,0.0,0.0
Asus Eee PC 900HA Blanc Layout Royaume-Uni Clavier,,asus,23.0,0.0,0.0
Asus Eee Pc UL30A-X4 Ventilateur pour ordinateurs ,,asus,22.0,0.0,0.0
Asus Eee Pc UL30A-X5 Ventilateur pour ordinateurs ,,asus,22.0,0.0,0.0
Asus Eee Pc UL30A-X2 Ventilateur pour ordinateurs ,,asus,22.0,0.0,0.0
Asus Eee Pc UL30A-QX130X Ventilateur pour ordinate,,asus,22.0,0.0,0.0
Asus Eee Pc UL30A-X1 Ventilateur pour ordinateurs ,,asus,22.0,0.0,0.0
Asus Eee Pc UL30A-A2 Ventilateur pour ordinateurs ,,asus,22.0,0.0,0.0
Asus Eee Pc UL30A-A3B Ventilateur pour ordinateurs,,asus,22.0,0.0,0.0
Asus Eee Pc UL30A-X3 Ventilateur pour ordinateurs ,,asus,22.0,0.0,0.0
Asus Eee PC 1215B Ventilateur pour ordinateurs …,,asus,24.0,0.0,0.0
Asus Eee PC 1215B Ventilateur pour ordinateurs …,,asus,24.0,0.0,0.0
Asus Eee PC 1215 Ventilateur pour ordinateurs p…,,asus,24.0,0.0,0.0
Asus Eee PC 1215T Ventilateur pour ordinateurs …,,asus,24.0,0.0,0.0
Asus Eee PC 1215N Ventilateur pour ordinateurs …,,asus,24.0,0.0,0.0
Asus Eee PC 1215TL Ventilateur pour ordinateurs…,,asus,24.0,0.0,0.0
Asus Eee PC 1025C Ventilateur pour ordinateurs …,,asus,26.0,0.0,0.0
Asus Eee PC 1005HA Ventilateur pour ordinateurs…,,asus,26.0,0.0,0.0
Asus Eee PC 1008HA Ventilateur pour ordinateurs…,,asus,26.0,0.0,0.0
Asus Eee PC 1001HA Ventilateur pour ordinateurs…,,asus,26.0,0.0,0.0
Asus Eee Pc 1008HAG Ventilateur pour ordinateur…,,asus,26.0,0.0,0.0
Asus Eee PC T91SA Blanc Layout Royaume-Uni Clavier,,asus,26.0,0.0,0.0
Asus Eee PC 1005HAB Ventilateur pour ordinateur…,,asus,26.0,0.0,0.0
Asus Eee PC 1005HAG Ventilateur pour ordinateur…,,asus,26.0,0.0,0.0
Asus Eee PC 1002HA Noir Layout Royaume-Uni Clavier,,asus,31.0,0.0,0.0
Asus Eee Pc 1000HA Noir Layout Royaume-Uni Clavier,,asus,31.0,0.0,0.0
Asus Eee PC 1101HGO Blanc Layout Royaume-Uni Clavi,,asus,31.0,0.0,0.0
Asus Eee PC 1101HA-MU1X Blanc Layout Royaume-Uni C,,asus,31.0,0.0,0.0
Asus Eee PC Disney NetPal MK90H Blanc Layout Royau,,asus,31.0,0.0,0.0
Asus Eee PC 904HA Noir Layout Royaume-Uni Clavier ,,asus,31.0,0.0,0.0
Asus Eee PC 904HA XP Noir Layout Royaume-Uni Clavi,,asus,31.0,0.0,0.0
Asus Eee PC 1101HA Blanc Layout Royaume-Uni Clavie,,asus,31.0,0.0,0.0
Asus Eee PC T91 Blanc Layout Royaume-Uni Clavier p,,asus,34.0,0.0,0.0
Asus G2PC Noir Layout Royaume-Uni Clavier pour ord,,asus,34.0,0.0,0.0
