;Average Stars;Names
95;4.366666666666666;brianleroux
10;4.366666666666666;Ocramius
9;4.233333333333333;andrew
126;3.8666666666666667;ashleygwilliams
119;3.7666666666666666;arunoda
96;3.7666666666666666;Seldaek
82;3.1666666666666665;JaviSoto
102;3.1666666666666665;sahat
174;3.0;thejameskyle
225;2.6666666666666665;mjhea0
71;2.6333333333333333;vladikoff
14;2.566666666666667;afc163
130;2.3333333333333335;brentvatne
106;1.9333333333333333;jeremy
172;1.9333333333333333;kittens
20;1.8;mikermcneil
142;1.7666666666666666;jamesward
247;1.5789473684210527;mli
147;1.5666666666666667;curran
249;1.5;zpao
165;1.1666666666666667;appleboy
54;1.1333333333333333;dsyer
23;1.1;gdi2290
66;0.9666666666666667;stefanpenner
215;0.9666666666666667;stof
152;0.9666666666666667;rwaldron
72;0.8;rafaelfranca
132;0.6666666666666666;weaverryan
148;0.5666666666666667;amasad
205;0.5666666666666667;jiyinyiyong
202;0.5;samccone
166;0.26666666666666666;vhf
112;;jfrazelle
