l_pre_spe,dpt,rec_mon,dep_mon,taux
04-TOTAL Chirurgie,18,132912.92,21185.1,0.1593908252109727
04-TOTAL Chirurgie,19,127351.86000000009,20584.319999999996,0.16163344610750077
04-TOTAL Chirurgie,21,192872.11000000013,33233.35,0.17230770172006712
04-TOTAL Chirurgie,22,180118.35999999996,20427.129999999976,0.11340948252027157
04-TOTAL Chirurgie,23,101024.8799999999,9438.430000000006,0.09342678753986161
04-TOTAL Chirurgie,24,173811.95000000016,29533.30999999999,0.1699153021411932
04-TOTAL Chirurgie,25,181054.37999999977,26158.139999999992,0.1444767036290424
04-TOTAL Chirurgie,26,175744.09000000005,25005.41999999999,0.14228313452816527
04-TOTAL Chirurgie,27,155543.38000000003,29198.019999999997,0.18771624996190767
04-TOTAL Chirurgie,28,165636.77000000005,30228.140000000007,0.18249655556553052
04-TOTAL Chirurgie,29,225180.70999999988,23595.979999999996,0.10478686207180006
04-TOTAL Chirurgie,2A,170833.11999999982,20938.249999999985,0.12256551891108708
04-TOTAL Chirurgie,2B,221218.4199999997,25483.73,0.11519714316737292
04-TOTAL Chirurgie,30,263267.3600000002,40522.06000000003,0.15391980228768198
04-TOTAL Chirurgie,31,317659.54000000004,49620.170000000006,0.15620550857688706
04-TOTAL Chirurgie,32,115452.51999999996,16968.419999999995,0.14697314532415576
04-TOTAL Chirurgie,33,284021.88000000006,46770.20000000006,0.16467111618302102
04-TOTAL Chirurgie,34,313307.9200000002,41619.49000000002,0.13283893365989596
04-TOTAL Chirurgie,35,206123.61999999988,25966.580000000013,0.1259757615357232
04-TOTAL Chirurgie,36,106993.38999999996,16377.170000000002,0.15306711937999168
04-TOTAL Chirurgie,37,205961.26999999984,32732.38000000001,0.1589249279731089
04-TOTAL Chirurgie,38,289487.83999999956,52929.05000000001,0.1828368680356318
04-TOTAL Chirurgie,39,112605.33999999995,13419.140000000009,0.11916965927193164
04-TOTAL Chirurgie,40,165122.06000000017,27075.490000000005,0.1639725788304723
04-TOTAL Chirurgie,41,137512.57999999993,21655.780000000002,0.15748217363095082
04-TOTAL Chirurgie,42,191216.34000000005,26080.409999999985,0.13639216188323644
04-TOTAL Chirurgie,43,103480.96999999996,14976.450000000003,0.14472661011971583
04-TOTAL Chirurgie,44,231934.11999999988,33590.26999999998,0.14482677236104805
04-TOTAL Chirurgie,45,197105.47999999975,34908.68000000001,0.1771065928760583
04-TOTAL Chirurgie,46,98213.3599999999,9851.300000000003,0.10030509087562031
04-TOTAL Chirurgie,47,176847.52,21239.040000000005,0.12009803699820051
04-TOTAL Chirurgie,48,66956.43,6431.16,0.09604992380866186
04-TOTAL Chirurgie,49,208381.77999999994,24492.790000000005,0.11753805922955458
04-TOTAL Chirurgie,50,168946.61000000013,22700.169999999995,0.13436298011543396
04-TOTAL Chirurgie,51,179427.36,34786.29999999998,0.1938740000410193
04-TOTAL Chirurgie,52,123740.80999999987,12841.890000000003,0.10378055550145515
04-TOTAL Chirurgie,53,121533.32,14114.220000000003,0.1161345711612256
