CODGEO,REG,DEP,ARR,CV,ZE2010,EPCI,LIBGEO,MENFIS10,PMENFIS10,MENIMP10,QUAR1UC10,QUAR2UC10,QUAR3UC10,DEC1UC10,DEC2UC10,DEC3UC10,DEC4UC10,DEC5UC10,DEC6UC10,DEC7UC10,DEC8UC10,DEC9UC10,RDUC10,PTSA10,PPEN10,PBEN10,PAUT10
01053,82,01,012,0199,8202,240100628,Bourg-en-Bresse,17952,36896.5,55.9,10265,17085,24553,5483,8759,11747,14533,17085,19686,22789,26720,34275,6.3,59.7,29.5,4.7,6.2
01054,82,01,012,0119,8201,240100883,Bourg-Saint-Christophe,436,1236.0,,,23188,,,,,,23188,,,,,,,,,
01056,82,01,014,0124,8201,200029999,Boyeux-Saint-Jerome,139,339.5,,,18103,,,,,,18103,,,,,,,,,
01057,82,01,012,0126,0053,240100685,Boz,187,489.5,,,17990,,,,,,17990,,,,,,,,,
01058,82,01,011,0104,8209,240100347,Bregnier-Cordon,315,813.0,,,17114,,,,,,17114,,,,,,,,,
01059,82,01,011,0109,8216,240100370,Brenaz,,,,,,,,,,,,,,,,,,,,
01060,82,01,014,0106,8203,240100867,Brenod,229,537.0,,,19768,,,,,,19768,,,,,,,,,
01061,82,01,011,0104,8216,240100354,Brens,413,1166.5,,,20505,,,,,,20505,,,,,,,,,
01062,82,01,012,0120,8214,240100610,Bressolles,270,744.5,,,23962,,,,,,23962,,,,,,,,,
01063,82,01,014,0122,8203,240100909,Brion,202,511.0,,,21648,,,,,,21648,,,,,,,,,
01064,82,01,011,0118,8201,240100412,Briord,356,904.5,,,18795,,,,,,18795,,,,,,,,,
01065,82,01,012,0143,8202,240100628,Buellas,659,1747.5,,,21892,,,,,,21892,,,,,,,,,
01066,82,01,011,0136,8201,240100743,La Burbanche,,,,,,,,,,,,,,,,,,,,
01067,82,01,014,0116,8203,240100701,Ceignes,102,267.5,,,19132,,,,,,19132,,,,,,,,,
01068,82,01,014,0124,8201,200029999,Cerdon,287,674.5,,,18357,,,,,,18357,,,,,,,,,
01069,82,01,012,0125,8202,240100842,Certines,546,1462.5,,,21137,,,,,,21137,,,,,,,,,
01071,82,01,013,0114,8219,240100750,Cessy,1430,3734.5,58.3,17832,32552,48863,6887,14196,20920,26090,32552,38486,45021,53044,70132,10.2,82.7,10.6,3.2,3.5
01072,82,01,012,0107,8202,240100693,Ceyzeriat,1110,2692.5,67.9,15893,21382,29209,10288,14498,17024,19125,21382,23969.5,27346,31624,38484,3.7,63.6,24.4,6.1,5.9
01073,82,01,011,0136,8216,240100438,Ceyzerieu,423,1019.0,,,19899,,,,,,19899,,,,,,,,,
01074,82,01,012,0108,8214,240100677,Chalamont,937,2306.5,54.5,13797,18986,24784,8888,12198,14955,16965,18986,20854,23151,26204,33623,3.8,70.6,20.6,3.9,5.0
01075,82,01,012,0130,8213,ZZZZZZZZZ,Chaleins,413,1179.0,,,22078,,,,,,22078,,,,,,,,,
01076,82,01,011,0128,8201,240100396,Chaley,69,137.5,,,17454,,,,,,17454,,,,,,,,,
01077,82,01,014,0124,8201,200029999,Challes-la-Montagne,81,182.0,,,16485,,,,,,16485,,,,,,,,,
01078,82,01,013,0112,8219,240100750,Challex,422,1034.0,,,33894.5,,,,,,33894.5,,,,,,,,,
01079,82,01,011,0109,8216,240100370,Champagne-en-Valromey,292,662.5,,,17139,,,,,,17139,,,,,,,,,
01080,82,01,014,0106,8203,240100578,Champdor,181,458.0,,,19278,,,,,,19278,,,,,,,,,
01081,82,01,014,0103,8219,240100891,Champfromier,283,673.5,,,21253,,,,,,21253,,,,,,,,,
01082,82,01,011,0131,8219,240100891,Chanay,207,481.0,,,20236,,,,,,20236,,,,,,,,,
01083,82,01,012,0130,8213,240100941,Chaneins,282,820.5,,,20803,,,,,,20803,,,,,,,,,
01084,82,01,012,0110,8202,240100669,Chanoz-Chatenay,268,730.5,,,19523,,,,,,19523,,,,,,,,,
01085,82,01,012,0135,8213,240100875,La Chapelle-du-Chatelard,140,374.0,,,20585,,,,,,20585,,,,,,,,,
01087,82,01,014,0122,8203,240100909,Charix,112,282.0,,,19932,,,,,,19932,,,,,,,,,
01088,82,01,012,0119,8201,240100883,Charnoz-sur-Ain,305,928.0,,,23663,,,,,,23663,,,,,,,,,
01089,82,01,011,0101,8201,240100883,Chateau-Gaillard,681,1881.0,,,19796,,,,,,19796,,,,,,,,,
01090,82,01,012,0108,8214,240100677,Chatenay,135,350.5,,,20456,,,,,,20456,,,,,,,,,
01091,82,01,014,0103,8219,240100891,Chatillon-en-Michaille,1199,3164.5,62.6,15724,22212,31606,10186,14397,16999,19527,22212,24937,29268,33879,42950,4.2,72.1,16.8,4.7,6.5
01092,82,01,012,0108,8201,240100677,Chatillon-la-Palud,600,1597.5,,,20486,,,,,,20486,,,,,,,,,
01093,82,01,012,0110,8213,240100644,Chatillon-sur-Chalaronne,2065,4663.5,58.4,13509,18958,25200,8535,11987,14817,16686,18958,20969,23445,27342,34094,4.0,59.6,29.0,4.7,6.7
01094,82,01,012,0126,0053,240100685,Chavannes-sur-Reyssouze,287,720.5,,,18442,,,,,,18442,,,,,,,,,
01095,82,01,012,0133,8202,240100636,Chavannes-sur-Suran,262,635.0,,,19568,,,,,,19568,,,,,,,,,
01096,82,01,012,0110,8202,240100669,Chaveyriat,369,975.5,,,18757,,,,,,18757,,,,,,,,,
01097,82,01,011,0109,8216,240100370,Chavornay,99,223.0,,,20595,,,,,,20595,,,,,,,,,
01098,82,01,011,0104,8216,240100354,Chazey-Bons,309,777.0,,,18401,,,,,,18401,,,,,,,,,
01099,82,01,011,0117,8201,240100883,Chazey-sur-Ain,564,1456.0,,,22666,,,,,,22666,,,,,,,,,
01100,82,01,011,0136,8216,240100743,Cheignieu-la-Balme,73,140.5,,,16113,,,,,,16113,,,,,,,,,
01101,82,01,014,0106,8203,240100867,Chevillard,68,168.0,,,20057,,,,,,20057,,,,,,,,,
01102,82,01,012,0126,0053,240100685,Chevroux,339,938.5,,,19445,,,,,,19445,,,,,,,,,
01103,82,01,013,0114,8219,240100750,Chevry,505,1253.5,,,31830,,,,,,31830,,,,,,,,,
01104,82,01,013,0112,8219,240100750,Chezery-Forens,191,465.0,,,19536,,,,,,19536,,,,,,,,,
01105,82,01,012,0142,8214,240100602,Civrieux,480,1375.5,,,23576,,,,,,23576,,,,,,,,,
01106,82,01,012,0107,8202,240100693,Cize,70,174.0,,,17872.5,,,,,,17872.5,,,,,,,,,
01107,82,01,011,0128,8201,240100396,Cleyzieu,56,134.0,,,19522,,,,,,19522,,,,,,,,,
01108,82,01,012,0111,8202,240100651,Coligny,483,1086.0,,,19094,,,,,,19094,,,,,,,,,
01109,82,01,013,0112,8219,240100750,Collonges,716,1843.0,,,25306,,,,,,25306,,,,,,,,,
01110,82,01,011,0104,8216,240100347,Colomieu,57,123.5,,,20658,,,,,,20658,,,,,,,,,
01111,82,01,011,0128,8201,240100396,Conand,,,,,,,,,,,,,,,,,,,,
01112,82,01,014,0106,8203,240100867,Condamine,148,423.5,,,19416,,,,,,19416,,,,,,,,,
01113,82,01,012,0110,8202,240100644,Condeissiat,298,751.0,,,17762,,,,,,17762,,,,,,,,,
01114,82,01,013,0112,8219,240100891,Confort,186,426.5,,,21475,,,,,,21475,,,,,,,,,
01115,82,01,012,0121,8202,240100156,Confrancon,454,1148.0,,,19385,,,,,,19385,,,,,,,,,
01116,82,01,011,0136,8216,240100354,Contrevoz,218,526.0,,,19587,,,,,,19587,,,,,,,,,
01117,82,01,011,0104,8216,240100354,Conzieu,,,,,,,,,,,,,,,,,,,,
01118,82,01,011,0131,8219,247400823,Corbonod,416,1015.0,,,20083,,,,,,20083,,,,,,,,,
01119,82,01,014,0106,8203,240100578,Corcelles,91,224.0,,,18490,,,,,,18490,,,,,,,,,
01121,82,01,011,0115,8203,240100578,Corlier,,,,,,,,,,,,,,,,,,,,
01122,82,01,011,0115,8203,240100578,Cormaranche-en-Bugey,322,787.5,,,20949,,,,,,20949,,,,,,,,,
01123,82,01,012,0127,0053,240100826,Cormoranche-sur-Saone,403,1076.0,,,19994,,,,,,19994,,,,,,,,,
01124,82,01,012,0129,8202,240100339,Cormoz,276,651.5,,,17697,,,,,,17697,,,,,,,,,
01125,82,01,012,0133,8203,240100636,Corveissiat,250,603.5,,,19072,,,,,,19072,,,,,,,,,
01127,82,01,012,0133,8202,240100636,Courmangoux,214,491.0,,,19676,,,,,,19676,,,,,,,,,
01128,82,01,012,0129,8202,240100339,Courtes,113,273.5,,,18262,,,,,,18262,,,,,,,,,
01129,82,01,012,0108,8201,240100677,Crans,102,268.0,,,19598,,,,,,19598,,,,,,,,,
01130,82,01,012,0121,8202,240100156,Cras-sur-Reyssouze,494,1305.5,,,20066,,,,,,20066,,,,,,,,,
01133,82,01,011,0104,8216,240100354,Cressin-Rochefort,155,388.5,,,19826,,,,,,19826,,,,,,,,,
01134,82,01,012,0127,0053,240100826,Crottet,653,1747.0,,,20407,,,,,,20407,,,,,,,,,
