,Users,Avg_stargazers
225,mjhea0,2.6333333333333333
226,ammeep,6.703703703703703
227,kartik-v,104.26666666666667
228,SamSaffron,18.833333333333332
229,weavejester,50.56666666666667
230,cyanogen,7.125
231,AllenDowney,7.9
232,mariotaku,2.9
233,webmozart,34.56666666666667
234,cheeaun,11.9
235,sebastianbergmann,181.76666666666668
236,addyosmani,388.3333333333333
237,rasbt,333.73333333333335
238,azat-co,43.13333333333333
239,davidfowl,14.566666666666666
240,fnando,60.13333333333333
241,macournoyer,28.633333333333333
242,robdodson,13.833333333333334
243,toddmotto,387.73333333333335
244,paulirish,46.333333333333336
245,juliangruber,8.8
246,bkeepers,166.56666666666666
247,mli,1.5789473684210527
248,walkor,174.3
249,zpao,1.5
250,una,140.33333333333334
251,tj,312.73333333333335
252,johnpapa,780.5666666666667
253,amueller,8.966666666666667
254,AdamBien,27.133333333333333
255,akrabat,6.433333333333334
