,Modele,type,Année,Km,Vendeur,Prix €,Numéro,Price Central €,Value Argus
88,zen,charge rapide,2015,4750.0,Pro,12990.0,0687808813,12849.0,141.0
89,intens,charge rapide,2015,8000.0,Pro,12900.0,0484320215,13074.0,-174.0
90,intens,,2016,10.0,Pro,15590.0,0422170122,,
91,life,charge rapide,2014,7628.0,Pro,10850.0,,11208.0,-358.0
92,life,charge rapide,2014,7628.0,Pro,10350.0,,11208.0,-858.0
93,intens,,2014,3500.0,Particulier,12500.0,,,
94,life,,2015,3666.0,Pro,11900.0,0422170199,12258.0,-358.0
95,intens,,2013,20000.0,Particulier,10000.0,,,
96,,,2016,20.0,Particulier,17000.0,,,
97,intens,charge rapide,2014,13243.0,Pro,12490.0,,11794.0,696.0
98,zen,,2013,46145.0,Pro,8990.0,0490789523,,
99,intens,,2014,11269.0,Pro,11990.0,0422170108,,
100,intens,,2013,32154.0,Pro,9900.0,,,
101,life,,2015,7090.0,Pro,11990.0,0422170122,12258.0,-268.0
102,zen,,2014,23000.0,Pro,5600.0,0494385104,,
103,intens,,2014,9400.0,Particulier,11500.0,,,
104,intens,,2013,37500.0,Particulier,9200.0,,,
