,exe_spe,departement,dep_mon,densite
218,3,33,3106,14.8
219,3,34,1078,11.5
220,3,35,805,10.1
221,3,36,926,5.3
222,3,37,1071,14.5
223,3,38,2395,10.0
224,3,39,509,6.6
225,3,4,357,8.0
226,3,40,827,6.7
227,3,41,456,6.3
228,3,42,872,9.3
229,3,43,264,2.6
230,3,44,1040,9.9
231,3,45,1623,6.7
232,3,46,222,10.4
233,3,47,647,8.1
234,3,48,75,7.9
235,3,49,617,7.2
236,3,5,433,9.9
237,3,50,514,6.0
238,3,51,684,9.8
239,3,52,859,6.7
240,3,53,182,4.9
241,3,54,891,13.2
242,3,55,322,7.3
243,3,56,660,8.4
244,3,57,1171,9.2
245,3,58,496,6.6
246,3,59,5949,10.3
247,3,6,2876,17.2
248,3,60,2003,6.2
249,3,61,436,6.3
250,3,62,1797,8.5
251,3,63,981,11.4
252,3,64,1218,12.5
253,3,65,239,10.5
254,3,66,526,10.6
255,3,67,2183,13.2
256,3,68,1145,11.3
257,3,69,3191,12.7
258,3,7,641,6.5
259,3,70,403,3.4
260,3,71,552,7.2
261,3,72,353,5.8
262,3,73,1060,6.5
263,3,74,2606,9.5
264,3,75,8285,27.3
265,3,76,2157,8.5
266,3,77,2908,7.9
267,3,78,4268,10.8
268,3,79,321,6.7
269,3,8,336,6.1
270,3,80,546,10.1
271,3,81,212,9.3
272,3,82,181,12.9
273,3,83,2097,13.7
274,3,84,1108,11.0
275,3,85,989,4.6
276,3,86,461,11.1
277,3,87,296,9.6
278,3,88,1144,9.1
279,3,89,902,9.1
280,3,9,177,4.6
281,3,90,138,8.3
282,3,91,3077,10.4
283,3,92,5541,14.0
284,3,93,3016,10.0
285,3,94,3565,12.0
286,3,95,3238,8.3
287,3,97,5416,5.44
288,4,1,3212,7.699999999999998
289,4,10,2016,16.8
290,4,11,2306,16.5
291,4,12,1538,16.3
292,4,13,5861,28.9
293,4,14,2508,24.700000000000006
294,4,15,1002,16.5
295,4,16,2454,13.4
296,4,17,2919,17.2
297,4,18,2048,13.400000000000002
298,4,19,1587,22.9
299,4,2,2164,14.0
300,4,20,4206,18.3
301,4,21,2683,28.4
302,4,22,2098,13.6
303,4,23,1015,8.4
304,4,24,2479,11.199999999999998
305,4,25,2484,28.7
306,4,26,2895,16.200000000000006
307,4,27,2380,7.300000000000002
308,4,28,2404,12.5
309,4,29,2210,20.1
310,4,3,1962,20.1
311,4,30,3280,17.2
312,4,31,4304,28.3
313,4,32,1789,11.9
314,4,33,4635,26.6
315,4,34,4226,30.5
316,4,35,2823,19.6
317,4,36,1411,9.7
318,4,37,2984,28.6
319,4,38,4988,19.0
320,4,39,1721,14.7
321,4,4,1643,12.2
322,4,40,2389,11.3
323,4,41,1683,12.9
324,4,42,2728,24.4
325,4,43,1453,10.900000000000002
326,4,44,3452,21.3
327,4,45,3019,15.5
328,4,46,1207,10.999999999999998
329,4,47,2121,16.8
330,4,48,735,11.7
331,4,49,3136,21.9
332,4,5,1092,23.4
333,4,50,2599,16.599999999999998
334,4,51,2782,24.9
335,4,52,1467,16.7
336,4,53,1708,11.7
337,4,54,3032,27.9
338,4,55,1445,7.7
339,4,56,2257,16.8
340,4,57,4257,16.6
341,4,58,1653,15.000000000000002
342,4,59,11613,21.4
343,4,6,5279,32.2
344,4,60,3277,12.0
345,4,61,1588,13.7
346,4,62,5320,16.2
347,4,63,2760,22.1
348,4,64,4795,21.3
349,4,65,1532,18.500000000000004
350,4,66,2654,22.200000000000006
351,4,67,5077,26.0
352,4,68,4914,18.000000000000004
353,4,69,5994,33.599999999999994
354,4,7,2063,17.0
355,4,70,1486,8.1
356,4,71,2974,17.4
