,User,Contribs,Location,Average note
86,kylef (Kyle Fuller),3132,"London, England",56.266666666666666
91,jedisct1 (Frank Denis),2989,"Paris, France",54.53333333333333
40,orta (Orta),4764,NYC / Huddersfield,53.7
28,hadley (Hadley Wickham),5852,"Houston, TX",53.4
229,weavejester (James Reeves),1544,"London, UK",50.56666666666667
188,rdegges (Randall Degges),1805,Bay Area,48.06666666666667
97,barretlee (小胡子哥),2918,"Hangzhou,China",47.3
98,rauchg (Guillermo Rauch),2869,SF,46.4
244,paulirish (Paul Irish),1445,Palo Alto,46.333333333333336
223,be5invis (Belleve Invis),1562,"Hefei, China",45.233333333333334
99,mitsuhiko (Armin Ronacher),2863,Austria / United Kingdom,43.733333333333334
18,tmcw (Tom MacWright),6613,"Washington, DC",43.5
238,azat-co (Azat Mardan),1479,"San Francisco, CA",43.166666666666664
65,geerlingguy (Jeff Geerling),3660,"St. Louis, MO",43.13333333333333
163,domenic (Domenic Denicola),2061,"New York, NY",43.1
68,dlew (Daniel Lew),3553,Minneapolis,40.1
88,soffes (Sam Soffes),3058,San Francisco,39.0
60,gaearon (Dan Abramov),3805,"London, UK",37.666666666666664
103,mafintosh (Mathias Buus),2829,"Copenhagen, Denmark",36.63333333333333
233,webmozart (Bernhard Schussek),1516,"Vienna, Austria",34.56666666666667
31,atmos (Corey Donohoe),5368,"Potrero, SF",34.3
100,indutny (Fedor Indutny),2848,USA,33.46666666666667
85,ashfurrow (Ash Furrow),3153,New York,32.8
6,rstacruz (Rico Sta. Cruz),7981,"Manila, Philippines",31.5
198,agentzh (Yichun Zhang),1726,San Francisco,30.266666666666666
3,rkh (Konstantin Haase),8413,Zurich,30.2
52,markstory (Mark Story),4104,"Toronto, Ontario",29.8
154,Caged (Justin Palmer),2169,"Portland, OR",29.6
77,remy (Remy Sharp),3351,"Brighton, UK",29.2
241,macournoyer (Marc-André Cournoyer),1468,"Montreal, QC, Canada",28.633333333333333
254,AdamBien (Adam Bien),1396,Planet Java,27.133333333333333
7,tmm1 (Aman Gupta),7799,"San Francisco, CA",25.966666666666665
19,bevacqua (Nicolás Bevacqua),6532,https://twitter.com/nzgb,25.933333333333334
122,ericholscher (Eric Holscher),2486,"Portland, Or",25.833333333333332
206,mourner (Vladimir Agafonkin),1680,"Kiev, Ukraine",25.566666666666666
70,numbbbbb (梁杰),3525,"Beijing, China",24.066666666666666
30,mbostock (Mike Bostock),5541,"San Francisco, CA",23.033333333333335
217,ericdouglas (Eric Douglas),1602,,23.0
84,substack (James Halliday),3160,"Oakland, California, USA",22.8
87,yiminghe (yiminghe),3074,China,22.8
212,kohsuke (Kohsuke Kawaguchi),1650,"San Jose, California",22.3
180,ibdknox (Chris Granger),1905,,21.6
197,leebyron (Lee Byron),1727,San Francisco,20.966666666666665
157,mcollina (Matteo Collina),2133,In the clouds above Italy,20.733333333333334
69,EisenbergEffect (Rob Eisenberg),3540,"Tallahassee, FL",20.5
224,grp (Grant Paul),1561,"San Francisco, CA",19.103448275862068
176,kevva (Kevin Mårtensson),1947,Sweden,18.933333333333334
36,jonathanong (jongleberry),4999,"Los Angeles, CA",18.833333333333332
228,SamSaffron (Sam),1548,"Sydney, Australia",18.833333333333332
104,kytrinyx (Katrina Owen),2805,,18.0
189,shiffman (Daniel Shiffman),1797,"New York, NY",17.9
151,leafo (leaf),2232,San Francisco,17.833333333333332
211,tekkub (Tekkub),1652,"Denver, CO",17.772727272727273
79,eduardolundgren (Eduardo Lundgren),3290,"Los Angeles, CA",17.733333333333334
185,ekmett (Edward Kmett),1885,"Cambridge, MA",17.066666666666666
51,jdalton (John-David Dalton),4105,http://twitter.com/jdalton,17.0
136,pkrumins (Peteris Krumins),2350,"Riga, Latvia",16.666666666666668
161,simurai (simurai),2100,"Sapporo, Japan",16.466666666666665
184,Haacked (Phil Haack),1886,"Bellevue, WA",16.366666666666667
39,michaelklishin (Michael Klishin),4869,,15.633333333333333
179,hemanth (hemanth.hm),1913,India,15.6
167,sferik (Erik Michaels-Ober),2012,San Francisco,15.533333333333333
159,swannodette (David Nolen),2123,New York,14.866666666666667
137,mattn (mattn),2340,"Osaka, Japan",14.766666666666667
141,alloy (Eloy Durán),2313,"Amsterdam, the Netherlands",14.733333333333333
239,davidfowl (David Fowler),1470,"Bellevue, WA",14.566666666666666
92,cvrebert (Chris Rebert),2965,"SF Bay Area, California, USA",14.566666666666666
199,jskeet (Jon Skeet),1722,"London, UK",14.5
158,mjackson (Michael Jackson),2133,California,14.133333333333333
124,kentcdodds (Kent C. Dodds),2472,"Salt Lake City, Utah, USA",14.033333333333333
242,robdodson (Rob Dodson),1465,"San Francisco, CA",13.833333333333334
150,drnic (Dr Nic Williams),2235,"Palo Alto, CA, USA",13.5
48,robrix (Rob Rix),4161,,12.833333333333334
234,cheeaun (Lim Chee Aun),1516,Singapore,11.9
162,jlord (Jessica Lord),2075,"Portland, Ore",11.666666666666666
153,benjamn (Ben Newman),2175,New York City,11.633333333333333
175,kriskowal (Kris Kowal),1947,"San Francisco Bay Area, CA, USA",11.133333333333333
67,springmeyer (Dane Springmeyer),3631,"Winthrop, WA",10.766666666666667
24,benbalter (Ben Balter),6174,"Washington, DC",10.733333333333333
173,StephenGrider (Stephen Grider),1962,,10.533333333333333
178,creationix (Tim Caswell),1914,"Red Lick, TX, USA",10.166666666666666
219,olivergierke (Oliver Gierke),1591,"Dresden, Germany",9.7
120,madskristensen (Mads Kristensen),2499,Seattle,9.033333333333333
