PC,old_price,new_price,discount
Ordinateur portable Dell Latitude E5430,270.0,270.0,0.0
"PC Portable 13.3"" DELL E4310 laptop Intel I5 520M ",249.0,249.0,0.0
PC Portable DELL Latitude E4200 A.B.I,259.0,259.0,0.0
 ORDINATEUR PORTABLE DELL E6320 CORE I5 8GO RAM 32,499.0,249.0,50.1002004008
Ordinateur portable Dell Latitude E5430,279.9,279.9,0.0
PC PORTABLE DELL LATITUDE E6510,279.0,279.0,0.0
PC PORTABLE DELL LATITUDE E6410 INTEL CORE I5 4GO ,297.0,297.0,0.0
Ordinateur portable - Dell Latitude E6320 8Go 320G,420.0,320.0,23.8095238095
Ordinateur portable Dell Latitude E6330,330.0,330.0,0.0
Ordinateur portable Dell Latitude E6220 I7 Disque ,478.5,319.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,478.5,319.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,487.5,325.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,502.5,335.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,517.5,345.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,478.5,319.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,517.5,345.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,478.5,319.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,493.5,329.0,33.3333333333
PC PORTABLE DELL LATITUDE E5430,329.9,329.9,0.0
Ordinateur portable Dell Latitude E6220 Core I7 Di,487.5,325.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,478.5,319.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,478.5,319.0,33.3333333333
Ordinateur portable Dell Latitude E6330,330.0,330.0,0.0
Ordinateur portable Dell Latitude E6220 I7 Disque ,478.5,319.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,487.5,325.0,33.3333333333
Ordinateur portable - Dell Latitude E6320 8Go 320G,420.0,320.0,23.8095238095
PC PORTABLE DELL LATITUDE E5430,329.9,329.9,0.0
"Ordinateur portable - Dell 780 - Core 2 Duo 2,93GH",409.9,329.9,19.516955355
Ordinateur portable Dell Latitude E6220 I7 Disque ,487.5,325.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,493.5,329.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,493.5,329.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,493.5,329.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,502.5,335.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,487.5,325.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,487.5,325.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,487.5,325.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,487.5,325.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,487.5,325.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,478.5,319.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,493.5,329.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,487.5,325.0,33.3333333333
PC PORTABLE DELL LATITUDE E6320,319.9,319.9,0.0
Ordinateur portable Dell Latitude E5440,379.9,379.9,0.0
Ordinateur portable Dell Latitude E6220 Core I7 Di,547.5,365.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,577.5,385.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,547.5,365.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,592.5,395.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,592.5,395.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core Core ,562.5,375.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,547.5,365.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,562.5,375.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,592.5,395.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,592.5,395.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,562.5,375.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core Core ,570.0,380.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,592.5,395.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,547.5,365.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,547.5,365.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,547.5,365.0,33.3333333333
Ordinateur portable - Dell Latitude E6320 8Go 500G,450.0,350.0,22.2222222222
Ordinateur portable - Dell Latitude E6330 8Go 320G,360.0,360.0,0.0
Ordinateur portable - Dell Latitude E5420 - Core i,352.8,352.8,0.0
Ordinateur portable Dell Latitude E6330,360.0,360.0,0.0
Ordinateur portable Dell Latitude E6220 I7 Disque ,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,525.0,350.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core Core ,553.5,369.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,577.5,385.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,525.0,350.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,577.5,385.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,592.5,395.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,525.0,350.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,525.0,350.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,547.5,365.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 Di,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,525.0,350.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core Core ,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,540.0,360.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,525.0,350.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,577.5,385.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,577.5,385.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,547.5,365.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,592.5,395.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,547.5,365.0,33.3333333333
Ordinateur portable Dell Latitude E6220 I7 Disque ,547.5,365.0,33.3333333333
"PC Portable 13.3"" DELL E4310 laptop Intel I5 520M ",399.0,399.0,0.0
Ordinateur portable Dell Latitude E6220 Core Core ,615.0,410.0,33.3333333333
Dell Vostro 3558-5YYGD Ordinateur Portable 15 Noir,396.16,396.16,0.0
"Ordinateur portable - Dell 780 - 2,93GHz - 4Go - 2",489.9,429.9,12.247397428
PC Portable Dell E6420 Windows 10 Ram 4 HDD 1TO,399.0,399.0,0.0
"DELL LATITUDE E6440 ORDINATEUR PORTABLE 14 (35,…",449.0,449.0,0.0
