,ID voiture,annee,kilometrage,marque,modele,prix,region,type recherche
66,1056615082,2011.0,27500.0,Renault,Zoe,9500.0,provence_alpes_cote_d_azur,PROFESSIONNEL
67,1053463713,2016.0,159.0,Renault,Zoe,14000.0,provence_alpes_cote_d_azur,PROFESSIONNEL
68,1053106839,2014.0,34000.0,Renault,Zoe,235.0,provence_alpes_cote_d_azur,PROFESSIONNEL
69,1052189048,2013.0,30000.0,Renault,Zoe,8700.0,provence_alpes_cote_d_azur,PROFESSIONNEL
70,1038780474,2013.0,20000.0,Renault,Zoe,13000.0,provence_alpes_cote_d_azur,PROFESSIONNEL
71,983972030,2013.0,38500.0,Renault,Zoe,9200.0,provence_alpes_cote_d_azur,PROFESSIONNEL
72,1028038955,2016.0,20.0,Renault,Zoe,17000.0,provence_alpes_cote_d_azur,PROFESSIONNEL
73,1057234540,0.0,0.0,Renault,Zoe,0.0,ile_de_france,PROFESSIONNEL
74,1051960872,2016.0,3000.0,Renault,Zoe,12000.0,ile_de_france,PROFESSIONNEL
75,1030748149,2014.0,42000.0,Renault,Zoe,9000.0,ile_de_france,PROFESSIONNEL
76,1044453124,2013.0,32000.0,Renault,Zoe,9800.0,ile_de_france,PROFESSIONNEL
77,1044233333,2015.0,19800.0,Renault,Zoe,11500.0,ile_de_france,PROFESSIONNEL
78,1041819940,2013.0,12000.0,Renault,Zoe,9500.0,ile_de_france,PROFESSIONNEL
79,1036934364,2016.0,10064.0,Renault,Zoe,14000.0,ile_de_france,PROFESSIONNEL
80,976192388,2015.0,22000.0,Renault,Zoe,10800.0,ile_de_france,PROFESSIONNEL
81,1045993095,0.0,0.0,Renault,Zoe,0.0,aquitaine,PROFESSIONNEL
82,1045521372,2013.0,33900.0,Renault,Zoe,10450.0,aquitaine,PROFESSIONNEL
83,1044655439,2014.0,25000.0,Renault,Zoe,11900.0,aquitaine,PROFESSIONNEL
84,1002949161,2014.0,24000.0,Renault,Zoe,9490.0,aquitaine,PROFESSIONNEL
