,Paris,Lille,Marseille,Lyon,Strasbourg,Nantes,Nice,Bordeaux,Toulouse
Paris,0,8435,25463,15537,16114,13310,30521,19574,22668
Lille,8368,0,31665,21739,17558,20203,36723,26468,29562
Marseille,25381,31451,0,10659,25996,31437,7744,21372,14017
Lyon,15519,21589,10753,0,16037,22354,15811,18768,17867
Strasbourg,15907,17574,25967,16276,0,27670,29325,32726,32784
Nantes,13262,20163,31273,22218,27696,0,36331,11696,18692
Nice,30597,36667,8010,15875,29668,36653,0,26588,19233
Bordeaux,19513,26414,21174,18611,32717,11769,26232,0,8593
Toulouse,22688,29589,13891,17704,32895,18794,18949,8729,0
