,Paris,Lille,Marseille,Lyon,Strasbourg,Nantes,Nice,Bordeaux,Toulouse
Paris,0,225440,774924,465616,491678,384570,931974,584306,679203
Lille,225194,0,1000932,691624,525123,600280,1157982,800016,894913
Marseille,774927,999843,0,313685,798380,985435,199157,645148,402891
Lyon,466053,690968,314190,0,487680,684853,471240,555681,537075
Strasbourg,490232,524649,799553,492813,0,865271,784276,968912,970947
Nantes,384542,600044,985868,685084,865808,0,1142918,346920,585999
Nice,932341,1157257,204845,471099,784865,1142850,0,802563,560305
Bordeaux,590492,805994,645495,555983,968336,353408,802545,0,245625
Toulouse,679088,894590,403446,537518,968967,585147,560496,244860,0
