,Paris,Lille,Marseille,Lyon,Strasbourg,Nantes,Nice,Bordeaux,Toulouse
Paris,0,8239,25242,15345,16034,13135,30288,19481,22511
Lille,8310,0,31613,21716,17571,20162,36659,26509,29538
Marseille,25331,31447,0,10703,26022,31415,7691,21381,14035
Lyon,15472,21588,10754,0,16053,22341,15800,18768,17887
Strasbourg,15910,17580,25963,16241,0,27697,29324,32729,32789
Nantes,13174,20115,31248,22144,27725,0,36295,11757,18685
Nice,30518,36634,7998,15891,29673,36603,0,26569,19223
Bordeaux,19468,26409,21160,18601,32748,11742,26207,0,8597
Toulouse,22658,29599,13889,17751,32930,18778,18935,8744,0
