product_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Le Bâtonnet Moelleux (10 bâtonnets) 170 g,blé,crustacés,mollusques,oeuf,poisson,,,,,,,,,
Poêlée Campagnarde,céréales,gluten,lait,oeufs,crustacés,poissons,céleri,moutarde,,,,,,
Early Bird Multiseed Small batch bread,may contain tree nuts,,,,,,,,,,,,,
Nouilles aux oeufs - 250 g - Suzi Wan,soja,,,,,,,,,,,,,
Biscuits petit déjeuner céréales & pépites de chocolat,Oeufs,Arachides,Fruits à coques,,,,,,,,,,,
"10 tranches, Saucisson sec supérieur pur porc",soja,,,,,,,,,,,,,
Cuillers Dégustation,Gluten,Oeufs,Lait,,,,,,,,,,,
Brownie au chocolat,lait,œuf,,,,,,,,,,,,
Godis Chokladran,oeuf,arachides,soja,fruits à coques,,,,,,,,,,
"Biscuits matin abricot, amande et pépites de chocolat",oeuf,arachide,,,,,,,,,,,,
Hommos aux Poivrons Rouge - 250 g - Pitenis,graines de moutarde,,,,,,,,,,,,,
Les Crozets Génépi - 375 g - Alpina Savoie,gluten,œufs,Céleri,fruits à coques,lait,Soja,Mollusques.,,,,,,,
Baron d'Albénas 2010,Sulfites,,,,,,,,,,,,,
Petits pains précuits,Sésame,,,,,,,,,,,,,
Pain de mie Complet (14 Grandes Tranches) 550 g,lait,oeuf,soja,sésame,,,,,,,,,,
12 crevettes apéritives,oeuf,poissons,arachide,céleri,sulfites,lupin,mollusques,,,,,,,
L'original tartare ail et fines herbes,fruits à coque,lait de chèvre,,,,,,,,,,,,
Lentilles cuisinées à l'Auvergnate - 820 g - Raynal et Roquelaure,céleri,oeuf,lait,moutarde,poisson,crustacés,mollusques,,,,,,,
Dryck Paskmust,Gluten,,,,,,,,,,,,,
Délice au crabe et au homard,sulfites,moutarde,céleri,fruits à coques,,,,,,,,,,
Véritables pralisnes,fruits à coque,lait,soja,sésame,,,,,,,,,,
KEX,noisettes,lait,,,,,,,,,,,,
Gaufres fourrées au miel à la farine d'épeautre,noix,,,,,,,,,,,,,
Cheverny,Sulfites,,,,,,,,,,,,,
St Hubert Oméga 3 ® Doux 54% MG (Tartine et Cuisson),lait,soja,,,,,,,,,,,,
Bonbons goût fruit,lait,fruits à coque,,,,,,,,,,,,
Coleslaw,Céréales,Gluten,Poisson,Crustacé,Mollusques,Soja,Céleri,Sésame,Lait,fruits à coque,,,,
Céréales gourmandes,soja,gluten,lait,oeuf,céleri,moutarde,lupin,,,,,,,
St Hubert Oméga 3 ® Doux 54% MG (Tartine et Cuisson),lait,soja,,,,,,,,,,,,
Douce Vie 2012,Sulfites,,,,,,,,,,,,,
Sablés Apéritif au parmesan et aux graines de moutarde,fruits à coque,arachide,soja,moutarde,,,,,,,,,,
KOLSYRAD PÄRONDRYCK,sulfites,,,,,,,,,,,,,
prince - chocolat blanc,blé,gluten,soja,lait,oeufs,sésame,,,,,,,,
belvita petit déjeuner,blé,gluten,soja,lait,oeuf,arachide,fruits à coque,sésame,,,,,,
Petit Beurre Epeautre,Noix,Oeuf,Sésame,Soja,,,,,,,,,,
Fécule de maïs,Lait,Oeuf,Fruits à coque,,,,,,,,,,,
véritable Jambon Persillé de Bourgogne,céleri,moutarde,lactose,,,,,,,,,,,
Best Stawberry-cheesecake,oeuf,arachide,fruit à coque,,,,,,,,,,,
Brasserie burger,lait,noisettes,oeuf,sésame,soja,,,,,,,,,
palmier pur beurre,fruit à coque,,,,,,,,,,,,,
Best vanille/Amande/Caramel au beurre salé,fruits à coque,,,,,,,,,,,,,
Pomme dauphine,lait,,,,,,,,,,,,,
Sushi Maki Kawaï,Oeuf,moutarde,mollusque,glucose,,,,,,,,,,
