product_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Rôti de porc cuit 100% filet,Céleri,,,,,,,,,,,,,
Emincés de jambon Serrano,Céleri,,,,,,,,,,,,,
Blanc de Dinde -25% de sel (4 tranches) 160 g,céleri,,,,,,,,,,,,,
Jambon de Paris x8,Céleri,,,,,,,,,,,,,
Terrine de fleuron de canard,lait,oeuf,,,,,,,,,,,,
Blanc de Dinde cuit à l'étouffée,Céleri,,,,,,,,,,,,,
Le Braisé Doré au Four (4 tranches) 160 g ,céleri,,,,,,,,,,,,,
Le supérieur -25% de sel,céleri,,,,,,,,,,,,,
Le tranché fin à l'italienne - 25 % de sel,céleri,,,,,,,,,,,,,
Fleury Michon - Le jambon de paris léger,céleri,,,,,,,,,,,,,
Blanc de Poulet doré au Four (4 tranches) 160 g,céleri,,,,,,,,,,,,,
Le supérieur cuit à l'étouffée,Céleri,,,,,,,,,,,,,
Blanc de Poulet -25% de sel (2 tranches) 80 g,Céleri,,,,,,,,,,,,,
Rôti de Porc cuit 100% Filet (2 tranches) 100 g,céleri,,,,,,,,,,,,,
Rôti de Porc cuit 100% Filet,Céleri,,,,,,,,,,,,,
Le Supérieur Sans Couenne (4 tranches) - 160 g - Fleury Michon,céleri,,,,,,,,,,,,,
Le Supérieur Avec Couenne (4 tranches) 160 g,céleri,,,,,,,,,,,,,
Le Supérieur avec Couenne (6 tranches),Celeri,,,,,,,,,,,,,
Rôti de Porc cuit Label Rouge (4 tranches) 160 g,céleri,,,,,,,,,,,,,
Le Haché de Poulet Grillé (2 pièces) 160 g,céleri,lait,,,,,,,,,,,,
Jambon Label rouge sans couenne,céleri,,,,,,,,,,,,,
Carré de Porc en Tranches,Céleri,,,,,,,,,,,,,
"Blanc de Poulet, - 25% sel",céleri,,,,,,,,,,,,,
Le Tranché Fin à l'italienne,Céleri,,,,,,,,,,,,,
Blanc de Poulet aux Fines Herbes (4 tranches fines) 120 g,céleri,,,,,,,,,,,,,
Fleury Michon Blanc de Dinde Fumé,Céleri,,,,,,,,,,,,,
Le Haché de Jambon (2 pièces) 200 g,céleri,,,,,,,,,,,,,
Le Tranché Fin Torchon -25% de sel (4 tranches) 120 g,céleri,,,,,,,,,,,,,
Allumettes de poulet,Céleri,,,,,,,,,,,,,
Rôti de Dinde cuit 100% Filet (x 2 tranches) - 100 g - Fleury Michon,Céleri,,,,,,,,,,,,,
Le Haché Jambon emmental fondu (2 pièces) 200 g,Oeuf,,,,,,,,,,,,,
Spigoli - L'Ail semoule,Sésame,moutarde,céleri,lait,,,,,,,,,,
Crème Jock,soja,lait,oeufs,fruits à coque,,,,,,,,,,
Levure chimique,Gluten,Soja,Lait,Oeufs,Fruits à coque,,,,,,,,,
Cakes Rocher aux Pépites de Chocolat,Fruits à coque,,,,,,,,,,,,,
Papillotes de Noël,blé,arachide,amandes,noisettes,noix de cajou,noix de pécan,pistaches,soja,lait,œuf,,,,
Révillon - Sarments du médoc - Mandarine,amande,noisette,blé,oeuf,soja,lait,,,,,,,,
Sarments du Médoc Chocolat noir de Dégustation éclats de fève de cacao Révillon,soja,amandes,noisettes,lait,blé,oeuf,,,,,,,,
Sarments du Médoc Chocolat au lait de Dégustation éclats de nougatine Révillon,amandes,lait,soja,noisettes,blé,oeuf,,,,,,,,
Sarments du Médoc,Soja,Amandes,Noisettes,Lait,Blé,Oeuf,,,,,,,,
Lentille verte du Puy - AOC - AOP - 500 g - Sabarot,gluten,,,,,,,,,,,,,
Lentilles corail - 500 g - Sabarot,céréales,gluten,,,,,,,,,,,,
Haricots cocos Sabarot,gluten,,,,,,,,,,,,,
Pois cassés de France Sabarot,gluten,,,,,,,,,,,,,
Pois chiches spécial couscous - 500 g - Sabarot,gluten,,,,,,,,,,,,,
Namur,fruits à coque,,,,,,,,,,,,,
DéliChoc chocolat croustillant noir Delatre,fruits à coque,,,,,,,,,,,,,
DéliChoc,fruits à coque,,,,,,,,,,,,,
Chocolat au lait Délichoc Pocket Delacre,arachide,fruits à coque,,,,,,,,,,,,
Délichoc lait,arachide,fruit a coque,,,,,,,,,,,,
Délichoc original - Paquet géant,Fruits à coque,,,,,,,,,,,,,
DéliChoc chocolat croustillant au lait (lot de 3) Delatre,fruits à coque,,,,,,,,,,,,,
DéliChoc chocolat croustillant noir (lot de 3) Delatre,fruits à coque,,,,,,,,,,,,,
Cigarettes Russes,fruits à coque,lait,,,,,,,,,,,,
Bestfizz,Lait,,,,,,,,,,,,,
The Lapins Crétins,Lait,,,,,,,,,,,,,
Les oeufs a jeter dans le jardin,arachides,oeuf,fruits a coque,soja,gluten,,,,,,,,,
Raclette coupe triangle nature EntreMont,lait,,,,,,,,,,,,,
Canada dry ginger Ale,phénylalanine,,,,,,,,,,,,,
Schweppes Zéro,phénylalanine,,,,,,,,,,,,,
Schweppes lemon light,phénylalanine,,,,,,,,,,,,,
Schweppes lemon,phénylalanine,,,,,,,,,,,,,
Schweppes Lemon,phénylalanine,,,,,,,,,,,,,
Schweppes Agrum',Contient une source de phénylalanine.,,,,,,,,,,,,,
Nectar multi-fruits,Sodium,,,,,,,,,,,,,
Schweppes Agrum',phénylalanine,,,,,,,,,,,,,
Côtes du Rhone Terres de Galets 2013,Sulphites,,,,,,,,,,,,,
Gigondas - Domaine de la Daysse 2012,Sulfites,,,,,,,,,,,,,
Château Griotte 2011,Sulfites,,,,,,,,,,,,,
Délices soufflés nature,Lait,Poisson,,,,,,,,,,,,
Tendre Croque Montagnard,moutarde,,,,,,,,,,,,,
Tendre Croque Classique Jambon Fromage,moutarde,,,,,,,,,,,,,
Knacki Ball Original,lactose,céleri,lait,blé,,,,,,,,,,
Herta - Knacki - 100 % Poulet,Lait,,,,,,,,,,,,,
Knacki 100% poulet,Lait,,,,,,,,,,,,,
Knacki Original 100% Poulet,Lait,,,,,,,,,,,,,
Tendre Noix au Torchon,Blé,céleri,,,,,,,,,,,,
Knacki Grillée ,Céleri,,,,,,,,,,,,,
Tendre Croque,moutarde,,,,,,,,,,,,,
Tendre Noix au Torchon,blé,céleri,,,,,,,,,,,,
Crème Légère Fouettée,Lait,,,,,,,,,,,,,
Bridelight (6% MG) Fruité & Fondant - 150 g,Oeuf,,,,,,,,,,,,,
Rondelé au Bleu (33% MG) - 125 g,fruits à coque,,,,,,,,,,,,,
Préparation pour Panna Cotta,Gluten de blé,,,,,,,,,,,,,
Huile d'avocat Lapalisse,fruits à coque,sésame,,,,,,,,,,,,
Desperados,malt d'orge,,,,,,,,,,,,,
Desperados,Malt d'orge,,,,,,,,,,,,,
Desperados - Bière - Tequila,Malt d'orge,,,,,,,,,,,,,
Corn flakes,ingrédient issu de l'orge,,,,,,,,,,,,,
Kellogg's Rice Krispies,ingrédient issu de l'orge,,,,,,,,,,,,,
Miel pops,orge,,,,,,,,,,,,,
Coco pops,orge,,,,,,,,,,,,,
All-Bran Fibre Plus,blé,ingrédient issu de l'orge,,,,,,,,,,,,
Kellogg's Frosties,Arachide,,,,,,,,,,,,,
All Bran Fruit'n Fibres - 500 g - Kellogg's ,Noisette,Fruits à coque,Blé,Orge,,,,,,,,,,
Kellogg's Country Store,noisettes,fruits à coque,lait,blé,avoine,ingrédient issu de l'orge,orge,,,,,,,
Extra ® Pépites (Morceaux de Chocolat Noir & Noisettes Grillées) - 500 g - Kellogg's,lait,soja,blé,avoine,ingrédient issu de l'orge,noisette,fruits à coque,,,,,,,
Special K fruits rouges,Lait,,,,,,,,,,,,,
Special K Feuilles de Chocolat Noir,lait,soja,blé,orge,,,,,,,,,,
Barres Special K croustillantes au chocolat noir,Lait,Soja,Blé,Orge,,,,,,,,,,
Special K Feuilles de Chocolat Noir,Lait,Soja,Blé,Orge,,,,,,,,,,
Cookies tout chocolat Biocoop,fruits à coque,soja,sésame,arachide,,,,,,,,,,
Chèvre Cendré,lait de chèvre,lait de vache,,,,,,,,,,,,
Caprice des Dieux (31% MG) - 300 g,lait de vache,lait de chèvre,,,,,,,,,,,,
Caramel liquide Nature,Blé,Anhydride sulfureux,,,,,,,,,,,,
Noisettes de Méditerranée en poudre,Fruits à coque,Blé,Oeuf,Lait,Soja,,,,,,,,,
Noix de Coco des Tropiques râpée,Fruits à coque,Blé,Oeuf,Lait,Soja,,,,,,,,,
Fixateur pour crème chantilly,blé,,,,,,,,,,,,,
PASTEITJES,melkproducten,ei,,,,,,,,,,,,
Les Croûtons à l'arôme naturel d'ail et à l'huile d'olive,sésame,oeuf,produits laitiers,,,,,,,,,,,
Salade de Thon + 20% Gratuit - 360 g (dont 60 g gratuit),crustacés,lait,céleri,,,,,,,,,,,
Salade de Thon - 300 g,Crustacés,Lait,Céleri,,,,,,,,,,,
Tapioca pour potages,gluten,,,,,,,,,,,,,
Tapioca express,lait,gluten,,,,,,,,,,,,
Fine chapelure de pain,oeuf,,,,,,,,,,,,,
Graine Couscous moyen,Oeuf,,,,,,,,,,,,,
Polenta Tipiak,gluten,lait,soja,céleri,moutarde,lupin,,,,,,,,
Chapelure dorée extra croustillance,gluten,oeuf,,,,,,,,,,,,
Graine de Couscous Parfumé aux Épices du Monde Tipiak,oeuf,soja,poisson,crustacés,mollusques,fruits à coques,moutarde,lupin,sésame,lait,gluten,céleri,,
Céréales gourmandes Blé - Maïs - Soja Tipiak,soja,gluten,lait,oeuf,céleri,moutarde,lupin,,,,,,,
Graine Couscous Parfumé aux épices douces,Gluten,lait,moutarde,oeuf,soja,céleri,lupin,sésame,,,,,,
Céréales Méditerranéennes avec une pointe de persillade,gluten,céleri,lait,oeuf,soja,poisson,crustacés,mollusques,fruits à coque,moutarde,lupin,sésame,,
Sauce beurre citron,sulfites,lait,oeuf,céléri,sésame,,,,,,,,,
Sauce beurre blanc,lait,oeuf,céléri,sésame,sulfites,,,,,,,,,
Brandade de Morue Parmentier à l'huile d'olive et aux fines herbes,célerie,mollusque,crustacés,soja,,,,,,,,,,
Coquilles Saint-Jacques à la Bretonne,Crustacés,oeufs,sésame,moutarde,soja,arachide,lupin,,,,,,,
Couscous moyen,Gluten,Oeufs,,,,,,,,,,,,
Maquereaux et sa ratatouille,Lait,,,,,,,,,,,,,
Filets de Maquereaux sauce tomate et basilic Saupiquet,gluten,,,,,,,,,,,,,
Filets de Maquereaux à la Sauce Tomate et au Basilic,gluten,,,,,,,,,,,,,
Petites Gambas compotée de tomate Tagliatelles au pesto - 280 g - Marie,Oeuf,Lait,Blé,Moutarde,Celeri,,,,,,,,,
Escalope milanaise de dinde,blé,oeuf,poisson,crustacés,mollusques,soja,lait,moutarde,céleri,,,,,
Cacahuètes grillées à sec,Fruits à coque,,,,,,,,,,,,,
Cruesli au chocolat,Noix,,,,,,,,,,,,,
P'tits craquants &quot;Pesto&quot;,fruits sec,oeuf,sésame,soja,,,,,,,,,,
Twinuts goût bacon,Fruits à coque,,,,,,,,,,,,,
Mélange Grillé à Sec,blé,fruits à coque,,,,,,,,,,,,
Pistaches grillées à sec,Fruits à coque,Arachides,,,,,,,,,,,,
Noix de cajou grillées à sec,blé,,,,,,,,,,,,,
Quaker Life Chocolat,Noix,,,,,,,,,,,,,
Life nature,noix,,,,,,,,,,,,,
Apéro Cracks - Goût Tomate et oignons,Lait,Sésame,Oeuf,Blé,,,,,,,,,,
Bénenuts - Apéro Cracks - Goût Paprika,Sésame,Œufs,,,,,,,,,,,,
Speculoos,fruits à coque,lait,soja,oeuf,,,,,,,,,,
Choc Oh! Lat,fruits à coque,gluten,lait,,,,,,,,,,,
Chocolat Noir 64% de cacao au quinoa Bio CEMOI,fruits à coque,lait,,,,,,,,,,,,
Nature noir 72% de cacao equateur,Fruits à coques,Gluten,Lait,,,,,,,,,,,
Nature noir 64% de cacao côte d'ivoire,Fruits à coques,Gluten,Lait,Soja,,,,,,,,,,
Choc Oh ! Lait,fruits à coque,gluten,,,,,,,,,,,,
Nature Lait Noix de coco bio,fruits à coques,gluten,,,,,,,,,,,,
(poule en chocolat au lait + oeufs),Oeuf,fruits à coque,,,,,,,,,,,,
Joyeuses Pâques,Gluten,Fruits à coque,,,,,,,,,,,,
Bonheur d'enfance,gluten,fruits à coques,,,,,,,,,,,,
Chardons aux 7 liqueurs Cémoi,fruits à coque,gluten,oeuf,,,,,,,,,,,
Cheverny Assortiment de chocolats au lait Noirs et Blancs Cémoi,autres fruits à coque,,,,,,,,,,,,,
Cheverny Assortiment de chocolats noirs Cémoi,autres fruits à coque,oeuf,,,,,,,,,,,,
Calendrier de l'avent,gluten,fruit a coque,,,,,,,,,,,,
,gluten,fruits à coque,,,,,,,,,,,,
Cheverny Assortiment de chocolats au lait noirs et blancs Cémoi,autres fruits à coque,,,,,,,,,,,,,
Quadro Pocket,oeuf,sésame,arachide,fruits à coques,,,,,,,,,,
Ricola Cassis Bonbons suisses aux plantes (lot de 2),source de phénylalanine,,,,,,,,,,,,,
Ventoux rosé AOP 2012 Bio Domaine du Pastre,sulfites,,,,,,,,,,,,,
Mini cake à la pomme,avoine,sésame,lait,fruits à coque,soja,,,,,,,,,
Les Créations Plaisir - Tout Chocolat,noisettes,amandes,,,,,,,,,,,,
"Apérivrais saveurs d'Italie, tomate-basilic-olive",lait de chèvre,,,,,,,,,,,,,
Kidiboo® (22% MG) - 200 g (10 bâtonnets),gluten,lait de chèvre,,,,,,,,,,,,
Boursin Ail & Fines Herbes,Lait de chèvre,,,,,,,,,,,,,
Boursin ® Poivre (40% MG) - 150 g,fruits à coque,,,,,,,,,,,,,
boursin ® Ail & Fines Herbes (41% MG) - 10 portions - 160 g,lait de chèvre,,,,,,,,,,,,,
boursin ® cuisine Ail & Fines Herbes (20% MG) - 245 g,lait de brebis,,,,,,,,,,,,,
Boursin Echalote & Ciboulette,lait de chèvre,,,,,,,,,,,,,
boursin® Figue & 3 Noix (40% MG) - 150 g,Lait de chèvre,,,,,,,,,,,,,
Vin de France Blanc Sec,Sulfites,,,,,,,,,,,,,
Boulaouane,Sulfites,,,,,,,,,,,,,
Boulaouane gris,Sulfites,,,,,,,,,,,,,
Biscuit soja orange,Fruits à coque,Oeufs,Lupin,,,,,,,,,,,
Biscuit sésame,Fruits à coque,Lait,Soja,Oeufs,Lupin,,,,,,,,,
Biscuit lait chocolat,Fruits à coques,oeufs,soja,lupin,,,,,,,,,,
Levure diététique ,Gluten,,,,,,,,,,,,,
Mon repas Gerlinéa,noix,,,,,,,,,,,,,
4 biscuits sésame,fruits à coques,soja,oeuf,lupin,,,,,,,,,,
Biscuits saveur pomme figue Gerlinéa,oeufs,lupin,soja,fruits à coque,,,,,,,,,,
Galettes Délicéréales Épautre et boulghour aux petits légumes,noix,sésame,,,,,,,,,,,,
Biscuits Lait Choco Gerblé,Fruits à coques,Soja,Oeuf,Lupin,,,,,,,,,,
Biscuit choco fondant Gerblé,sésame,fruits à coque,,,,,,,,,,,,
Galletas cookies sin gluten &quot;Gerblé&quot;,Leche,Huevos,Frutos de cáscara,,,,,,,,,,,
Petit cake pépites chocolat sans gluten Gerblé,lait,sésame,fruits à coque,amandes,,,,,,,,,,
Palets chocolat cookies de cacao sans gluten Gerblé,sésame,fruits à coque,amandes,,,,,,,,,,,
Palets pépites chocolat sans gluten Gerblé,lait,sésame,fruits à coque,amandes,,,,,,,,,,
Fines galettes Epinards et pignons Céréal Bio,lait,fruits à coque,œufs,céleri,sésame,,,,,,,,,
Croq'Soja Champignons shitakés & gingembre Céréal Bio,gluten,,,,,,,,,,,,,
Sablés bio chocolat noir intense,lait,,,,,,,,,,,,,
Cookies Bio au chocolat Céréal Bio,soja,sésame,fruits à coque,arachide,,,,,,,,,,
Sablés Bio nappés chocolat au lait Céréal Bio,soja,oeuf,,,,,,,,,,,,
Médaillons Bio Chocolat au lait Céréal Bio,soja,oeufs,fruits à coque,,,,,,,,,,,
Biscuit pavot citron,fruits à coque,soja,oeuf,lupin,,,,,,,,,,
Cake fourré à la fraise,soja,Fruits à coque,sésame,,,,,,,,,,,
Crousti'Pause Coeur fondant cacao noisette sans gluten Gerblé,soja,arachide,fruits à coque,,,,,,,,,,,
Petit cake fourré saveur chocolat sans gluten Gerblé,lait,fruits à coque,amandes,,,,,,,,,,,
Biscuit Miel Châtaigne,Fruits à coque,œufs,soja,lupin,,,,,,,,,,
Biscuit chocolat amande,Noisettes,noix de pécan,oeuf,lupin,,,,,,,,,,
croustillant avoine coco aux 3 sons,oeufs,lupin,soja,lait,fruits à coques,,,,,,,,,
Barres de céréales sans gluten Gerblé,lait,noisettes,,,,,,,,,,,,
Galettes au son d'avoine Finement salées Céréal Bio,céleri,sésame,fruits à coque,,,,,,,,,,,
Galettes son d'avoine nature Gerblé,sésame,moutarde,céléri,fruits à coque,,,,,,,,,,
Galettes Son d'avoine vanillées Gerblé,sésame,moutarde,céleri,fruits à coque,,,,,,,,,,
Biscuit son d'avoine,Oeuf,Lupin,Soja,Fruits à coque,,,,,,,,,,
Sablé coco cacao au sirop d'agave,lait,soja,fruits à coque,oeufs,lupin,,,,,,,,,
"Boulghour de riz, légumes et colombo",sésame,fruits à coque,,,,,,,,,,,,
"Falafels Pois chiches, Epinards, Epices Céréal Bio",fruits à coque,céréales contenant du gluten et du sésame,,,,,,,,,,,,
Ravioli d'épinards au Tofu sauce tomate pesto Bio - 250 g - Céréal Bio,moutarde,sésame,,,,,,,,,,,,
Pain aux graines sans gluten,Lupin,,,,,,,,,,,,,
Palet au beurre à la farine de riz,amandes,soja,,,,,,,,,,,,
Cookie cacao pépites,lait,oeuf,sésame,arachide,fruits à coque,,,,,,,,,
Barre Son d'avoine Gerblé,fruits à coque,oeufs,lait,soja,,,,,,,,,,
"Galettes Céréales Orge, chèvre et miel Céréal Bio",fruits à coque,sésame,céleri,,,,,,,,,,,
Moelleux pomme cannelle Gerblé,fruits à coque,œuf,soja,lupin,,,,,,,,,,
Biscuit nappé chocolat au lait Gerblé,fruits à coque,,,,,,,,,,,,,
Biscuits chocolat cacao Gerlinéa,fruits à coque,oeuf,lupin,,,,,,,,,,,
Biscuits pavot saveur romarin Gerlinéa,fruits à coque,œuf,lupin,soja,,,,,,,,,,
Maxi Cookies Bio Chocolat au lait et cranberries,Soja,Sésame,Fruits à coque,Arachide,,,,,,,,,,
Biscuit quinoa cacao,fruits à coque,œuf,,,,,,,,,,,,
Sablé miel datte Gerblé,fruits à coque,œuf,lupin,soja,,,,,,,,,,
"Crousti Panés Tomates, Olives Céréal Bio",fruits à coque,céleri,sésame,,,,,,,,,,,
Fusilli au sarrasin sans gluten,soja,lupin,,,,,,,,,,,,
Biscuits moelleux saveur muesli fleur d'oranger Gerlinéa,lupin,fruits à coques,,,,,,,,,,,,
Biscuits barres chocolat orange Gerlinéa,fruits à coque,,,,,,,,,,,,,
Biscuits fondants saveur pêche abricot Gerlinéa,soja,oeuf,,,,,,,,,,,,
Ma pause Gerlinéa,oeuf,lupin,soja,fruits à coque,,,,,,,,,,
Biscuit Pomme Noisette,fruits à coques,soja,œuf,lupin,,,,,,,,,,
Biscuits Raisins,Oeuf,Fruits à coque,Soja,Lupin,,,,,,,,,,
Biscuit Soja Figue,oeuf,lupin,lait,fruits à coque,,,,,,,,,,
Château Haut Gravier,sulfites,,,,,,,,,,,,,
La Raclette (26% MG) Tranches XXL - 490 g - RichesMonts,lait de vache,lait de chèvre,,,,,,,,,,,,
Les idées Raclette sans croûte (26% MG) - 750 g - RichesMonts,Lait de vache,Lait de chèvre,,,,,,,,,,,,
Raclette de caractère (29% MG) - 400 g - RichesMonts,lait de vache,lait de chèvre,,,,,,,,,,,,
La Raclette Classique (26% MG) Format familial - 850 g - RichesMonts,Lait de vache,lait de chèvre,,,,,,,,,,,,
La Raclette (26% MG) Classsique - 400 g - RichesMonts,lait de vache,lait de chèvre,,,,,,,,,,,,
Potabio,gluten,soja,,,,,,,,,,,,
Potabio,gluten,soja,,,,,,,,,,,,
Cuisse de Bergère,Sulfites,,,,,,,,,,,,,
Chocolat noir extra fin au fructose,Saccharose,,,,,,,,,,,,,
Floraline - Spécialité Céréalière,Oeuf,Lait,gluten,,,,,,,,,,,
Cocottes Petit Déj',fruits à coques,soja,,,,,,,,,,,,
Bonne Maman Le petit cerisier,soja,fruits à coque,graines de sésame,,,,,,,,,,,
Croquants noix de coco,soja,graines de sésame,fruits à coques,,,,,,,,,,,
Sablés tout chocolat,sésame,fruits à coque,,,,,,,,,,,,
Petit beurre ,Soja,Graines de sésame,Fruits à coques,,,,,,,,,,,
Sablés noix de pécan et érable,Graines de sésame,Fruits à coque,Soja,,,,,,,,,,,
Sablés tout chocolat,graines de sésame,fruits à coques,,,,,,,,,,,,
"Sablés des prés, sésame, pavot, tournesol",soja,fruits à coque,,,,,,,,,,,,
Tartelettes citron,Fruits à coque,soja,graine de sésames,,,,,,,,,,,
Tartelettes framboises,Fruits à coques,soja,sésame,,,,,,,,,,,
Tartelette chocolat caramel,sésame,fruits à coques,,,,,,,,,,,,
Tartelettes fraise,Fruits à coque,Graines de sésame,Soja,,,,,,,,,,,
Cocottes,soja,fruits à coques,,,,,,,,,,,,
Cocottes Chocolat Graines,Fruits à coque,Soja,,,,,,,,,,,,
Tam Tam,Fruits à coque,,,,,,,,,,,,,
Madeleines tendres et moelleuses,Fruits à coque,,,,,,,,,,,,,
Madeleines coquilles,Soja,Lait,Fruits à coque,,,,,,,,,,,
Quatre-quarts au beurre frais,soja,fruits à coques,,,,,,,,,,,,
Madeleines longues,Fruits à coque,,,,,,,,,,,,,
Madeleines longues au chocolat,fruits à coque,,,,,,,,,,,,,
St Michel crêpes bretonnes,Soja,Noisettes,,,,,,,,,,,,
Cookies chocolat et noisettes Bonne Maman,Fruits à coques,graines de sésame,,,,,,,,,,,,
Tronches de Cake,lait,,,,,,,,,,,,,
Le Brownie de Poulette,fruits à coque,,,,,,,,,,,,,
Le Marbré de Poulette,lait,fruits à coque,,,,,,,,,,,,
Le gâteau de Poulette Caramel au beurre salé,Fruits à coque,,,,,,,,,,,,,
Sirtaki,soja,fruits à coque,,,,,,,,,,,,
Le Quatre-Heures - Chocolat au Lait,fruit à coque,graine de sésame,,,,,,,,,,,,
Petits cakes aux fruits,Fruits à coque,,,,,,,,,,,,,
Financiers citron pavot,Fruits à coque,,,,,,,,,,,,,
Madeleines Pépites chocolat,Fruits à coque,,,,,,,,,,,,,
Madeleines,Fruits à coques,,,,,,,,,,,,,
Madeleines la Vraie Recette,Fruits à coque,,,,,,,,,,,,,
Madeleines pépites chocolat,fruits à coque,,,,,,,,,,,,,
Madeleines,Fruits à coque,,,,,,,,,,,,,
LOR - Véritables Croquants de Saint Paul,Fruits à coque,soja,,,,,,,,,,,,
Côtes du Rhône Prestige,sulfites,,,,,,,,,,,,,
Côtes du Rhône Rouge Cuvée 2012 AOC Bio Celliers des Dauphins,sulfites,,,,,,,,,,,,,
Perles multicolores (nouvelle formule),soja,lait,sulfites,,,,,,,,,,,
Vermicelles arc-en-ciel,Lait,,,,,,,,,,,,,
Amandes effilées,Fruits à coque,,,,,,,,,,,,,
Amandes en poudre,fruits a coques,,,,,,,,,,,,,
Noix de coco râpée,fruits à coque,,,,,,,,,,,,,
Vahiné - Noisettes en Poudre,fruits à coque,,,,,,,,,,,,,
Pépites chocolat noir,lait,fruits à coque,,,,,,,,,,,,
Pâte d'amandes,blé,oeuf,sésame,noisette,,,,,,,,,,
Glaçage noir,lait,soja,noisettes,,,,,,,,,,,
Ti'coco,Fruits à coque,,,,,,,,,,,,,
Eclats de Pistaches torréfiées,Fruits à coque,,,,,,,,,,,,,
Amandes en poudre,Fruits à coque,Arachides,,,,,,,,,,,,
Domaine de Sahari Guerrouane 2011,Sulfites,,,,,,,,,,,,,
Mousse de canard au Porto,oeuf,lait et dérivés.,Gluten,,,,,,,,,,,
Terrine de Campagne dorée au four et Mousse de Canard au porto,oeuf,gluten,lait,dérivés de lait,,,,,,,,,,
Choucroute garnie &quot;L'Alsacienne&quot; Stoeffler,oeuf,fruits à coque,,,,,,,,,,,,
Mon moment choucroute,gluten,oeuf,moutarde,lait,fruits à coque,,,,,,,,,
Le spécial à l'oignon,soja,blé,,,,,,,,,,,,
Charal l'extra moelleux,Soja,,,,,,,,,,,,,
Charal le spécial à la tomate,soja,blé,,,,,,,,,,,,
4 bacon cheese,blé,graines de sésame,lait,soja,sulfites,,,,,,,,,
Endive au jambon gratinée,oeuf,moutarde,poisson,crustacé,mollusques,soja,fruits à coque,céleri,sésame,,,,,
La biscotte équilibre,fruits à coque,lait,œufs,sésame,,,,,,,,,,
Pain Azyme Equilibre Pasquier,blé,gluten,sésame,,,,,,,,,,,
100 Biscottes,Fruit à coque,lait,oeuf,sésame,soja,,,,,,,,,
Les grilletines tradition,fruits à coque,oeufs,arachide,sésame,soja,,,,,,,,,
Ficelles de pain,Arachide,fruits à coque,lait,oeuf,soja,,,,,,,,,
Cidre Brut Ecusson 33 cl,sulfites,,,,,,,,,,,,,
Cidre doux Ecusson 33 cl,sulfites,,,,,,,,,,,,,
Cidre brut Ecusson (pack de 3),sulfites,,,,,,,,,,,,,
Cidre doux Ecusson (pack de 3),sulfites,,,,,,,,,,,,,
Cidre rosé Ecusson (pack de 3),sulfites,,,,,,,,,,,,,
Cidre doux Ecusson 75 cl,sulfites,,,,,,,,,,,,,
Cidre brut Ecusson 75 cl,sulfites,,,,,,,,,,,,,
Cidre rosé Ecusson 75 cl,sulfites,,,,,,,,,,,,,
Danao Orange Banane Fraise,Soja,,,,,,,,,,,,,
Danao Orange Mangue,soja,,,,,,,,,,,,,
Danao Pêche-Abricot Maxi format,soja,,,,,,,,,,,,,
Délice de Poire Ecusson,sulfites,,,,,,,,,,,,,
Purée de pois chiches à l'huile d'olive - 100 g - Marius Bernard,sulfites,,,,,,,,,,,,,
Sauce pizza biologique,Gluten,Sulfites,,,,,,,,,,,,
Les pains d'épices d'Elise bio,gluten,noisettes,amandes,soja,sésame,lait,oeuf,,,,,,,
crusty classic,fromage,,,,,,,,,,,,,
Fondant au chocolat,gluten,,,,,,,,,,,,,
Cuvée du restaurateur,Sulfites,,,,,,,,,,,,,
Les Embruns Sable de Camargue IGP La Croix des Saintes,sulfites,,,,,,,,,,,,,
Merlot Cabernet Sauvignon Pays d'Oc 2011 IGP Bio Cuvée des Jours Paisibles,sulfites,,,,,,,,,,,,,
Grenache Cinsault Pays d'Oc 2012 IGP Bio Cuvée des Jours Paisibles,sulfites,,,,,,,,,,,,,
Vin rosé Bio Les Embruns La Croix des Saintes,sulfites,,,,,,,,,,,,,
Cidre Breton IGP Doux - 75 cl - Loïc Raison,sulfites,,,,,,,,,,,,,
Cidre Breton traditionnel naturellement trouble Loïc Raison,sulfites,,,,,,,,,,,,,
Galette des Rois Frangipane,Gluten,Œuf,Lait,Fruits à coque,,,,,,,,,,
Boudoirs bio,arachide,soja,sésame,lait,fruits à coque,gluten,,,,,,,,
Cakes aux fruits,Blé,Oeufs,Lait,Anhydride sulfureux,,,,,,,,,,
Filets de Maquereaux - Les Dieux,Moutarde,lait,,,,,,,,,,,,
"Les tartinables thon olives, tomates marinées et poivrons",moutarde,,,,,,,,,,,,,
Les Dieux - Filets de Maquereaux - Escabèche,moutarde,lait,,,,,,,,,,,,
Lasagnes à la Bolognaise Pur Boeuf Bio - 300 g - La Cuisine d'Océane,moutarde,poisson,,,,,,,,,,,,
Brandade de Morue Parmentière La Cuisine d'Océane,gluten,,,,,,,,,,,,,
Hachis Parmentier Pur Boeuf Bio,poisson,lait,,,,,,,,,,,,
Moussaka et légumes grillés,poissons,moutarde,sulfites,,,,,,,,,,,
La cuisine d'Océane saumon beurre blanc & riz de Camargue,Gluten,Oeuf,,,,,,,,,,,,
Cidre Breton doux naturellement trouble Loïc Raison,sulfites,,,,,,,,,,,,,
Château GRAND BIGAROUX - Saint-Emilion 2006,Sulfites,,,,,,,,,,,,,
