0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NA,zen,zen,life,intens,life,zen,life,life,life,life,zen,NA,life,intens,life
NA,NA,pro,NA,pro,pro,pro,pro,pro,pro,pro,pro,pro,pro,NA,pro
