;Paris;Marseille;Lyon;Toulouse;Nice;Nantes;Strasbourg;Montpellier;Bordeaux;Lille;Rennes;Reims;Le Havre;Saint-Etienne;Toulon;Grenoble;Dijon;Nîmes;Angers;Villeurbanne;Le Mans;Aix-en-Provence;Clermont-Ferrand;Brest;Limoges;Tours;Amiens;Perpignan;Metz
Paris;0.0;774924.0;465616.0;679203.0;931974.0;384570.0;491678.0;747620.0;584306.0;225440.0;354495.0;144177.0;195653.0;523490.0;838857.0;575419.0;314941.0;712099.0;295977.0;470919.0;208492.0;760551.0;424422.0;591219.0;392099.0;239388.0;144435.0;848081.0;330625.0
Marseille;774927.0;0.0;313685.0;402891.0;199157.0;985435.0;798380.0;170370.0;645148.0;999843.0;1051576.0;798019.0;965208.0;332616.0;66513.0;305613.0;504625.0;121548.0;905386.0;317633.0;896103.0;33534.0;473724.0;1279804.0;690330.0;797446.0;918301.0;317271.0;766090.0
Lyon;466053.0;314190.0;0.0;537075.0;471240.0;684853.0;487680.0;304554.0;555681.0;690968.0;742449.0;489145.0;656334.0;62756.0;378123.0;111391.0;195751.0;251365.0;596259.0;8594.0;586976.0;299817.0;164597.0;970677.0;409928.0;488319.0;609426.0;451455.0;457216.0
Toulouse;679088.0;403446.0;537518.0;0.0;560496.0;585147.0;968967.0;242608.0;244860.0;894590.0;703950.0;812853.0;859088.0;535772.0;467379.0;529446.0;671854.0;290498.0;642636.0;541466.0;685685.0;389073.0;376148.0;882005.0;290041.0;587029.0;825318.0;205475.0;933319.0
Nice;932341.0;204845.0;471099.0;560305.0;0.0;1142850.0;784865.0;327784.0;802563.0;1157257.0;1208990.0;955433.0;1122623.0;490031.0;149787.0;463027.0;662040.0;278962.0;1062801.0;475047.0;1053517.0;176499.0;631139.0;1437219.0;847744.0;954861.0;1075715.0;474686.0;923505.0
Nantes;384542.0;985868.0;685084.0;585999.0;1142918.0;0.0;865808.0;825031.0;346920.0;600044.0;113312.0;518307.0;384168.0;664242.0;1049802.0;793076.0;638071.0;872921.0;90720.0;690279.0;184229.0;971496.0;535755.0;297015.0;325191.0;215653.0;505800.0;787897.0;704755.0
Strasbourg;490232.0;799553.0;492813.0;970947.0;784276.0;865271.0;0.0;789917.0;968912.0;524649.0;835196.0;350429.0;698625.0;548119.0;863486.0;575192.0;329932.0;736727.0;776677.0;482846.0;689193.0;785180.0;630898.0;1071920.0;731960.0;694129.0;525999.0;936818.0;165141.0
Montpellier;747998.0;168947.0;303019.0;242293.0;325997.0;824838.0;787714.0;0.0;484551.0;963501.0;917792.0;787353.0;927999.0;321951.0;232880.0;294947.0;493960.0;55999.0;771603.0;306967.0;762319.0;154574.0;332402.0;1121695.0;424181.0;663662.0;894228.0;156673.0;755425.0
Bordeaux;590492.0;645495.0;555983.0;245625.0;802545.0;353408.0;968336.0;484657.0;0.0;805994.0;472211.0;724257.0;691212.0;535141.0;709428.0;663975.0;671223.0;532547.0;410897.0;561178.0;453947.0;631122.0;375517.0;650266.0;226989.0;355290.0;736722.0;447523.0;930423.0
Lille;225194.0;1000932.0;691624.0;894913.0;1157982.0;600280.0;525123.0;963330.0;800016.0;0.0;570205.0;206487.0;316166.0;749498.0;1064865.0;801427.0;501246.0;938107.0;511686.0;696927.0;424202.0;986559.0;640132.0;758737.0;607808.0;455097.0;143541.0;1063791.0;363854.0
