brand,total_old_price,total_price,total_decrease,total_decrease_percentage,number_of_articles
acer,51571.48999999938,48135.78999999938,3435.699999999997,7.13751659627907,362
dell,92872.17000000128,73439.78000000074,19432.390000000538,26.46030530047931,426
