id,sku,old_price,price,brand,title
66,DEL0002567924478,487.5,325.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
67,DEL0002567924508,487.5,325.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
68,DEL0002567924836,487.5,325.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
69,DEL3700868413352,330.0,330.0,dell,Ordinateur portable Dell Latitude E6330
70,DEL0002567925116,493.5,329.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
71,DEL0002567924584,478.5,319.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
72,DEL0002567924461,478.5,319.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
73,DEL0002567924621,487.5,325.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
74,DEL0002567924942,478.5,319.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
75,DEL0002567925062,478.5,319.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
76,DEL0002567925185,502.5,335.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
77,DEL0002567925253,517.5,345.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
78,DEL0002567925246,502.5,335.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
79,DEL0002567925086,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
80,DEL0002567925154,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
81,DEL0002567925048,577.5,385.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
82,DEL0002567925147,525.0,350.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
83,DEL3700868413376,360.0,360.0,dell,Ordinateur portable Dell Latitude E6330
84,DEL0002567924560,577.5,385.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
85,DEL0002567924850,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
86,DEL0002567924690,592.5,395.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
87,DEL0002567924737,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
88,DEL0002567925161,577.5,385.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
89,DEL0002567924843,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
90,DEL0002567924546,525.0,350.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
91,DEL0002567925093,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
92,DEL0002567924492,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
93,DEL0002567924614,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
94,DEL0002567925321,553.5,369.0,dell,Ordinateur portable Dell Latitude E6220 Core Core
95,DEL3663369020217,349.9,349.9,dell,Ordinateur portable - Dell Latitude E6320 - Core i
96,DEL0002567924553,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
97,DEL0002567924652,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
98,DEL0002567925055,592.5,395.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
99,DEL0002567924577,592.5,395.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
100,DEL0002567924522,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
101,DEL0002567924966,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
102,DEL0002567924928,577.5,385.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
103,DEL0002567924973,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
104,DEL0002567924539,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
105,DEL0002567924782,525.0,350.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
106,DEL0002567924904,525.0,350.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
107,DEL0002567925024,525.0,350.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
108,DEL0002567925000,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
109,DEL0002567924805,577.5,385.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
110,DEL3700868413444,369.9,369.9,dell,Ordinateur portable Dell Latitude E5520
111,DEL0002567925314,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core Core
112,DEL0002567925208,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
113,DEL3700868413390,359.9,359.9,dell,Ordinateur portable Dell Latitude E6420 4Go 256Go
114,DEL0002567925277,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
115,DEL0002567925338,562.5,375.0,dell,Ordinateur portable Dell Latitude E6220 Core Core
116,DEL3700868410795,349.9,349.9,dell,Ordinateur portable Dell Latitude E6420
117,DEL0002567924652,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
118,DEL0002567924645,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
119,DEL3700868415073,360.0,360.0,dell,Ordinateur portable - Dell Latitude E6330 8Go 320G
120,DEL3700868415172,450.0,350.0,dell,Ordinateur portable - Dell Latitude E6320 8Go 500G
121,DEL0002567924720,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
122,DEL0002567925055,592.5,395.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
123,DEL0002567924607,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
124,DEL0002567924683,577.5,385.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
125,DEL0002567924577,592.5,395.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
126,DEL0002567925031,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
127,DEL0002567925055,592.5,395.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
128,DEL0002567924553,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
129,DEL0002567924522,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
130,DEL0002567924720,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
131,DEL0002567924645,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
132,DEL0002567925178,592.5,395.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
133,DEL3700868415073,360.0,360.0,dell,Ordinateur portable - Dell Latitude E6330 8Go 320G
134,DEL0002567925017,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
135,DEL0002567924881,540.0,360.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
136,DEL0002567924607,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
137,DEL0002567925130,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
138,DEL3700868413321,379.9,379.9,dell,Ordinateur portable Dell Latitude E5440
139,DEL0002567924485,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
140,DEL0002567924799,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
141,DEL0002567925215,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
142,DEL0002567925345,570.0,380.0,dell,Ordinateur portable Dell Latitude E6220 Core Core
143,DEL0002567925222,562.5,375.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
144,DEL0002567925260,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
145,DEL0002567925352,615.0,410.0,dell,Ordinateur portable Dell Latitude E6220 Core Core
146,DEL3663369020224,609.9,429.9,dell,Ordinateur portable - Dell 990 - Core i5 - 750Go -
